event_id,user_id,event_type,page_url,event_timestamp,device_type,browser,os,session_duration_seconds,error_flag,created_at
E003725, U000365 ,login,/pricing,2024-02-28,desktop,,macOS,879,TRUE,2024-02-28 15:30
E000206,U000986,login,/integrations,04/04/2024 17:58,,Chrome,Linux,1745,FALSE,2024-04-04 17:58
E001700,USR-001799,export,,,,Safari,Windows,,TRUE,2023-09-16 4:31
E003621,U001150,comment,,01/12/2025 18:31,mobile,Chrome,Android,unknown,1,2025-01-12 18:31
E005243,u001005,logout,/dashboard,2023-01-03 23:11,,Edge,Linux,,FALSE,2023-01-03 23:11
E007217,U000511,export,,2023-12-02,mobile,,Linux,,FALSE,2023-12-02 1:51
E006595,U001908,doc_delete,,05/21/2024 04:36,,Edge,,unknown,0,2024-05-21 4:36
E007062,U002143,logout,/help,03/04/2023 04:24,mobile,Edge,iOS,,0,2023-03-04 4:24
E006472,U000519,integration_connect,,2023-05-03,tablet,,Android,894,FALSE,2023-05-03 22:11
E001697,U000748,doc_delete,,02/06/2025 10:08,desktop,Firefox,,,FALSE,2025-02-06 10:08
E008089,U002488,share,,02/07/2023 21:06,desktop,Chrome,,unknown,FALSE,2023-02-07 21:06
E008442,u002228,doc_edit,,2025-05-20 11:14,mobile,Chrome,Windows,,FALSE,2025-05-20 11:14
E006980,u002490,export,,01/21/2023 03:25,tablet,Edge,macOS,unknown,,2023-01-21 3:25
E002454,U001733,search,,2023-02-19,tablet,Firefox,Windows,1456,FALSE,2023-02-19 2:49
E005892,U000676,doc_create,,02/24/2024 05:22,tablet,Edge,,607,TRUE,2024-02-24 5:22
E003885,U001208,doc_delete,,12/15/2023 12:12,,Brave,Windows,,,2023-12-15 12:12
E002191,u001567,share,,11/19/2024 14:30,DESKTOP,Chrome,macOS,,,2024-11-19 14:30
e002951,U000968,integration_error,,0000-00-00 00:00:00,,Edge,Linux,unknown,TRUE,2024-01-14 17:20
E003248,u000575,ai_search,,04/02/2023 00:54,,Brave,,,,2023-04-02 0:54
E007658,U001940,doc_edit,,01/08/2025 07:27,mobile,Chrome,,unknown,,2025-01-08 7:27
E007124,U000524,login,/admin,2025-01-25,mobile,Safari,,unknown,FALSE,2025-01-25 19:32
E006535,U000425,login,/onboarding,01/18/2024 22:24,desktop,Safari,,483,TRUE,2024-01-18 22:24
E004554,U001868,login,/admin,2023-11-18,,Firefox,Android,1699,1,2023-11-18 14:53
E005273, U002035 ,logout,/admin,2024-07-01 20:40,DESKTOP,,,475,FALSE,2024-07-01 20:40
E006383,U002050,search,,05/17/2024 15:33,tablet,Firefox,Android,,1,2024-05-17 15:33
E004708,U001339,share,,10/24/2023 10:47,,Brave,Windows,,TRUE,2023-10-24 10:47
E001265,U001577,integration_error,,2025-05-22 13:07,mobile,Safari,Android,,TRUE,2025-05-22 13:07
E006304,U001759,doc_create,,2023-05-10 6:15,mobile,Edge,iOS,unknown,0,2023-05-10 6:15
E006777,U002489,share,,09/18/2023 06:57,,,Linux,1222,FALSE,2023-09-18 6:57
E001059,U001095,integration_connect,,2023-09-07,mobile,,,unknown,,2023-09-07 2:57
E000035,U000212,integration_connect,,05/11/2023 18:53,desktop,,,,TRUE,2023-05-11 18:53
E002815,U001282,comment,,01/03/2025 18:02,,Edge,iOS,,FALSE,2025-01-03 18:02
E001762,U000116,page_view,/search,04/02/2024 05:48,DESKTOP,Chrome,iOS,,0,2024-04-02 5:48
 E008550,U001155,page_view,/help,,tablet,Brave,,,FALSE,2023-10-24 8:12
E000984,u001496,doc_create,,2023-04-09 4:00,DESKTOP,,Windows,,0,2023-04-09 4:00
E007678,U001145,doc_delete,,,DESKTOP,Safari,Windows,,TRUE,2023-09-03 19:16
E005318, u002146 ,ai_search,,06/01/2023 06:39,,Edge,,,,2023-06-01 6:39
E006326,U001484,doc_delete,,2023-03-03 20:17,tablet,Firefox,Linux,684,TRUE,2023-03-03 20:17
E008797,U000725,comment,,02/26/2024 15:07,,,macOS,unknown,TRUE,2024-02-26 15:07
E003960,U002272,integration_error,,01/07/2023 21:45,,Brave,,634,FALSE,2023-01-07 21:45
E005341, U002583 ,doc_delete,,,tablet,Firefox,,,FALSE,2025-02-01 22:02
E006818,U001529,login,/integrations,2024-10-31 5:38,DESKTOP,Edge,Linux,,0,2024-10-31 5:38
E001454,USR-000910,comment,,2023-12-13 20:15,desktop,Chrome,iOS,443,,2023-12-13 20:15
E002503,U000283,doc_edit,,0000-00-00 00:00:00,tablet,Safari,Android,,1,2023-08-25 3:52
E001139,U001297,integration_connect,,,,Firefox,macOS,1699,1,2023-12-22 8:22
E001290,U001083,doc_create,,11/21/2023 16:04,desktop,,macOS,,0,2023-11-21 16:04
E006781,U001823,export,,01/02/2023 17:45,,Brave,Windows,452,FALSE,2023-01-02 17:45
E006021,U001105,integration_connect,,08/24/2023 03:43,DESKTOP,,Windows,,TRUE,2023-08-24 3:43
E008050,U001410,logout,/help,2025-01-13 3:09,tablet,,iOS,,1,2025-01-13 3:09
E001684,U000398,doc_delete,,,tablet,Safari,,1363,FALSE,2024-10-30 0:23
E007964,U001697,integration_connect,,0000-00-00 00:00:00,,Edge,,,FALSE,2025-03-12 8:26
E002548,U000838,doc_create,,2024-08-20,,Firefox,,unknown,TRUE,2024-08-20 2:46
E003762,U000460,integration_error,,2024-05-17,DESKTOP,Safari,macOS,,FALSE,2024-05-17 23:25
E002088,U001988,ai_search,,2023-05-15,tablet,Chrome,Android,1260,0,2023-05-15 18:43
E007295,U001922,EXPORT,,2024-08-30 20:40,,Chrome,Linux,,FALSE,2024-08-30 20:40
E008465,USR-001437,integration_error,,2024-12-22 21:08,,Safari,Linux,1611,FALSE,2024-12-22 21:08
 E008425,U001906,doc_edit,,2023-03-21 16:59,desktop,Firefox,iOS,unknown,TRUE,2023-03-21 16:59
E000691,U000250,share,,01/23/2024 14:33,,,Windows,,TRUE,2024-01-23 14:33
E008448,U001579,logout,/docs,2025-06-14 9:23,DESKTOP,Brave,macOS,,TRUE,2025-06-14 9:23
E005161,U000439,ai_search,,2024-07-18 7:37,,Firefox,,1038,FALSE,2024-07-18 7:37
E003716,U001315,login,/pricing,03/12/2023 13:27,desktop,Firefox,iOS,411,FALSE,2023-03-12 13:27
E003250,U001067,comment,,2024-09-08,,Edge,Android,,TRUE,2024-09-08 5:59
E003176,U002149,search,,08/09/2024 04:43,mobile,Chrome,macOS,unknown,TRUE,2024-08-09 4:43
E004087,U000957,doc_delete,,05/15/2025 10:34,DESKTOP,,,,,2025-05-15 10:34
E002604,U001249,login,/dashboard,03/29/2024 02:07,tablet,Firefox,,unknown,,2024-03-29 2:07
E005866,U001832,doc_create,,03/01/2025 19:25,,Safari,Android,unknown,,2025-03-01 19:25
E005578,U000629,page_view,/docs,0000-00-00 00:00:00,tablet,Edge,,unknown,0,2023-03-19 15:15
E002167,U001760,export,,01/27/2025 18:18,DESKTOP,,,,0,2025-01-27 18:18
E007920,U002389,integration_error,,2023-11-13 23:14,DESKTOP,,macOS,,TRUE,2023-11-13 23:14
E005003,U001769,logout,/settings,0000-00-00 00:00:00,DESKTOP,Edge,Android,unknown,TRUE,2023-08-11 2:46
E006764,U001620,integration_connect,,2024-07-13,DESKTOP,Chrome,iOS,,1,2024-07-13 9:26
E002433,U000532,comment,,12/14/2024 11:10,desktop,Safari,Windows,188,FALSE,2024-12-14 11:10
E006103,U000281,DOC_DELETE,,2024-07-30 18:17,,Firefox,,,FALSE,2024-07-30 18:17
E004115,U000753,comment,,01/13/2023 12:49,tablet,,Android,,FALSE,2023-01-13 12:49
e008371,U000148,page_view,/dashboard,2023-01-07 1:40,,Chrome,Windows,,FALSE,2023-01-07 1:40
E005599,U001712,integration_error,,2024-09-30,mobile,,Android,,FALSE,2024-09-30 12:01
e005712,U000254,AI_SEARCH,,,DESKTOP,Firefox,,,,2024-11-15 9:45
e005067,U002001,doc_delete,,2023-08-10,,Brave,Windows,76,FALSE,2023-08-10 2:25
E006891,U000582,share,,06/21/2023 11:23,tablet,Brave,Linux,,,2023-06-21 11:23
E005255,USR-000886,search,,05/05/2023 15:24,tablet,Safari,macOS,unknown,FALSE,2023-05-05 15:24
E000628,U000675,share,,2025-02-21 4:39,desktop,Chrome,Linux,unknown,TRUE,2025-02-21 4:39
E008440,U002540,ai_search,,01/25/2023 18:11,DESKTOP,Brave,Android,,TRUE,2023-01-25 18:11
E005660,U000684,doc_create,,02/10/2024 15:30,DESKTOP,Edge,,1606,TRUE,2024-02-10 15:30
E006729,U000662,search,,2025-03-05 15:36,mobile,Chrome,,,1,2025-03-05 15:36
e005749,U000180,logout,/integrations,0000-00-00 00:00:00,,,Android,,1,2024-04-14 16:09
E004842,u000584,EXPORT,,2023-08-08,,Brave,macOS,,TRUE,2023-08-08 4:18
E002265,u002078,search,,2025-01-12,DESKTOP,Safari,Windows,305,,2025-01-12 3:19
E000726,U002214,doc_edit,,2025-04-01,,Chrome,Linux,491,0,2025-04-01 3:50
e002074,U002239,doc_delete,,,desktop,Firefox,Linux,,1,2024-06-27 14:44
E002049,U000227,integration_error,,04/04/2023 18:51,DESKTOP,Brave,iOS,29,,2023-04-04 18:51
E000806,U000318,doc_create,,2024-04-03 12:28,,,Windows,,FALSE,2024-04-03 12:28
E004822,U001633,integration_error,,02/10/2023 18:20,mobile,Brave,Windows,,TRUE,2023-02-10 18:20
E002671,U001261,integration_connect,,0000-00-00 00:00:00,DESKTOP,,macOS,,FALSE,2024-12-06 10:02
E000699,U001087,login,/docs,2024-12-05,desktop,,,,0,2024-12-05 2:07
E006572,U000412,search,,2025-02-27,,Brave,iOS,600,FALSE,2025-02-27 8:39
E005179,U001471,export,,,DESKTOP,,macOS,,FALSE,2023-03-25 18:13
E008146,U001024,integration_error,,11/08/2023 16:20,desktop,Brave,Windows,unknown,0,2023-11-08 16:20
E007722,U001597,integration_error,,2025-05-24 7:56,tablet,Chrome,Android,,FALSE,2025-05-24 7:56
E002978,U000743,share,,2023-01-13,mobile,Firefox,Linux,24,TRUE,2023-01-13 1:42
E008298,U002329,share,,2023-08-01 12:55,desktop,Chrome,macOS,,FALSE,2023-08-01 12:55
E008491,U001865,search,,,,Chrome,,,TRUE,2023-03-03 2:00
E001492, U002504 ,login,/admin,2023-03-16,tablet,Chrome,,,FALSE,2023-03-16 21:34
E004378, U001166 ,login,/docs,03/20/2025 19:37,tablet,Chrome,macOS,unknown,TRUE,2025-03-20 19:37
E004751,U001282,page_view,/onboarding,11/08/2024 11:09,,,,398,TRUE,2024-11-08 11:09
E008831,USR-000534,share,,2023-07-27,DESKTOP,Edge,macOS,,TRUE,2023-07-27 18:55
E004744,U001272,login,/billing,05/29/2025 06:52,,,,1018,FALSE,2025-05-29 6:52
E000647,U000246,logout,/admin,2023-11-27 1:34,mobile,Chrome,Windows,,TRUE,2023-11-27 1:34
E003793,U000358,comment,,12/29/2024 18:30,,Firefox,Linux,unknown,,2024-12-29 18:30
E008130,U001155,logout,/admin,10/21/2023 15:07,tablet,,macOS,unknown,FALSE,2023-10-21 15:07
E000670,USR-001528,DOC_DELETE,,06/17/2025 07:08,,Safari,Linux,,TRUE,2025-06-17 7:08
E004266,U000697,share,,2023-01-17,,,Linux,,,2023-01-17 12:33
E002262,U001966,integration_error,,2023-01-28 23:52,desktop,Chrome,Windows,982,1,2023-01-28 23:52
E001552,U000973,comment,,2025-01-19 9:28,tablet,Chrome,,1583,FALSE,2025-01-19 9:28
E007297,U001656,search,,11/29/2023 19:39,,Edge,,,FALSE,2023-11-29 19:39
E007537,U000329,login,/help,03/11/2023 18:25,,Chrome,Linux,unknown,,2023-03-11 18:25
E006969,U002461,share,,2025-01-01 6:07,tablet,,Android,unknown,TRUE,2025-01-01 6:07
E008388,U000833,doc_create,,2023-08-27 5:54,,Edge,Windows,,TRUE,2023-08-27 5:54
E001161,U001989,doc_delete,,,desktop,Safari,Android,1468,TRUE,2023-02-24 18:50
E006234,U002370,comment,,11/26/2024 21:48,desktop,Firefox,iOS,unknown,TRUE,2024-11-26 21:48
E000488,U001243,export,,06/05/2023 18:56,tablet,Safari,macOS,32,1,2023-06-05 18:56
E000989,U002037,doc_edit,,2025-04-27,tablet,,iOS,unknown,FALSE,2025-04-27 21:06
E003082,U000389,share,,2024-03-23,mobile,Firefox,macOS,,1,2024-03-23 23:54
E004986, U000638 ,ai_search,,2024-07-28,mobile,,macOS,,0,2024-07-28 22:07
E004155,U002416,login,/pricing,,,Brave,Linux,37,TRUE,2024-04-02 23:10
E007201,U000315,doc_create,,0000-00-00 00:00:00,tablet,,Windows,,TRUE,2025-02-25 4:01
E002412,U001399,logout,/onboarding,0000-00-00 00:00:00,,Brave,,,1,2024-11-11 15:22
E007403,U001467,search,,0000-00-00 00:00:00,,Edge,Windows,,0,2025-06-01 1:34
E004568,U000997,login,/search,02/07/2023 13:33,DESKTOP,Chrome,macOS,1458,0,2023-02-07 13:33
E006792,U000562,integration_connect,,2023-05-29,,Brave,,,FALSE,2023-05-29 23:33
E001301,u001333,doc_create,,2023-08-03 18:05,,Brave,,1244,,2023-08-03 18:05
E008213,U001638,page_view,/dashboard,2023-08-20,,Safari,Windows,,,2023-08-20 5:22
E003238,U002275,INTEGRATION_CONNECT,,2023-10-23 11:24,,Edge,,1789,1,2023-10-23 11:24
E002186,U002525,comment,,2025-05-19,,Brave,,699,1,2025-05-19 0:11
E006233,U000542,search,,2023-04-17 7:16,,Firefox,,,FALSE,2023-04-17 7:16
E004345,U002441,doc_delete,,2023-09-12 10:17,tablet,Chrome,,unknown,FALSE,2023-09-12 10:17
E007254,U001847,doc_edit,,04/28/2024 14:40,mobile,,Windows,unknown,,2024-04-28 14:40
E007233,U000430,comment,,06/15/2025 01:49,desktop,Brave,Linux,,TRUE,2025-06-15 1:49
E005089,U001439,integration_error,,,desktop,Firefox,Android,,,2024-04-01 21:57
E002944,U000462,export,,0000-00-00 00:00:00,,Edge,macOS,,TRUE,2024-09-23 3:36
E003353,U002561,comment,,10/26/2024 07:06,desktop,Chrome,iOS,unknown,TRUE,2024-10-26 7:06
E002616,U000118,logout,/admin,05/25/2024 17:05,desktop,Brave,iOS,unknown,,2024-05-25 17:05
E004334,U001082,doc_create,,2024-11-10,DESKTOP,Brave,Windows,,FALSE,2024-11-10 10:50
E000506,U001774,SHARE,,2025-04-14 8:43,mobile,Brave,,unknown,,2025-04-14 8:43
E003329,U002512,integration_error,,2024-01-15 14:24,,,Android,,,2024-01-15 14:24
E001786,U001466,doc_delete,,2023-01-19,mobile,Edge,,,FALSE,2023-01-19 17:48
E003679,U001379,comment,,2023-05-20,desktop,Edge,Linux,,TRUE,2023-05-20 12:34
E008063,U001154,ai_search,,2025-05-21 0:40,desktop,,macOS,,FALSE,2025-05-21 0:40
E003982, U000391 ,login,/settings,05/26/2025 06:23,DESKTOP,Safari,macOS,,,2025-05-26 6:23
E000395,U002091,comment,,04/10/2023 17:24,tablet,,Linux,673,FALSE,2023-04-10 17:24
E003822,U002197,logout,/settings,06/29/2023 15:09,DESKTOP,Safari,iOS,,0,2023-06-29 15:09
E003830,USR-001677,login,/dashboard,04/14/2024 13:25,,Brave,iOS,,TRUE,2024-04-14 13:25
E002232,U000652,share,,2023-10-08,,,Linux,,0,2023-10-08 21:48
E008518,U000056,export,,2025-04-18,,Brave,,246,TRUE,2025-04-18 1:58
E006787,U001822,AI_SEARCH,,2023-03-05,,Firefox,Linux,unknown,1,2023-03-05 16:10
E001572,u002129,comment,,2025-01-22 3:21,,Chrome,,,FALSE,2025-01-22 3:21
E004701,U001270,search,,2023-09-25,,Firefox,Linux,,,2023-09-25 22:57
E003211,U000083,logout,/dashboard,2024-08-18 12:39,mobile,Edge,,,FALSE,2024-08-18 12:39
E003559,u000173,doc_create,,,mobile,,iOS,unknown,FALSE,2024-07-05 17:17
e008766, U001337 ,comment,,03/30/2023 15:53,,,iOS,unknown,,2023-03-30 15:53
E006884,U001458,doc_edit,,2024-09-21,DESKTOP,,Windows,,1,2024-09-21 6:57
E004019,U001873,doc_delete,,,tablet,,Windows,,TRUE,2023-12-23 17:18
E006332,U000934,ai_search,,07/05/2024 02:17,tablet,,,,TRUE,2024-07-05 2:17
E006441,U000027,share,,,DESKTOP,,Linux,1000,,2024-09-10 13:09
E001214,U001486,doc_create,,02/19/2025 09:36,,Edge,Linux,unknown,FALSE,2025-02-19 9:36
E003132,U000454,share,,2023-08-13,mobile,Chrome,Windows,1119,,2023-08-13 6:33
E008052,U001287,integration_connect,,,,Safari,Android,,1,2024-08-10 21:18
E001970,U000794,export,,2024-09-14,,Edge,macOS,,1,2024-09-14 13:00
E004748,U001676,doc_delete,,2023-11-14 11:30,mobile,Brave,,,1,2023-11-14 11:30
 E006060,U000492,INTEGRATION_CONNECT,,,mobile,Firefox,Android,,TRUE,2025-03-05 3:22
E006651,U002494,search,,0000-00-00 00:00:00,mobile,Brave,iOS,1373,TRUE,2024-02-15 4:59
E006816,U000167,SHARE,,2024-08-11,,,macOS,,,2024-08-11 18:52
E008918,U000423,ai_search,,2025-01-08 21:41,,,Android,1589,TRUE,2025-01-08 21:41
E002817,U001628,export,,2023-08-03,desktop,,Windows,1316,,2023-08-03 13:36
E008354,U000170,doc_edit,,11/26/2023 21:57,mobile,Brave,Linux,862,TRUE,2023-11-26 21:57
E006201,U000836,integration_error,,,desktop,Edge,macOS,,FALSE,2024-08-09 13:37
E005800,U000584,login,/help,2023-10-22,mobile,Safari,macOS,1661,,2023-10-22 11:34
e007510,U000624,doc_delete,,10/11/2024 06:39,tablet,Edge,,unknown,,2024-10-11 6:39
E008035,U000498,login,/dashboard,2023-10-31 22:54,,,iOS,,0,2023-10-31 22:54
e005955,U000238,comment,,05/17/2024 10:00,mobile,Chrome,Linux,638,FALSE,2024-05-17 10:00
E003057,U001468,doc_edit,,10/01/2023 09:47,,,Windows,unknown,0,2023-10-01 9:47
E001178,U000099,integration_connect,,06/30/2024 08:09,desktop,,macOS,,,2024-06-30 8:09
E003896,U001061,integration_connect,,06/06/2025 04:10,DESKTOP,,macOS,unknown,TRUE,2025-06-06 4:10
E008255,U002282,logout,/docs,11/05/2023 03:46,tablet,,iOS,,,2023-11-05 3:46
E008867,U002279,share,,04/07/2023 08:34,mobile,,iOS,707,TRUE,2023-04-07 8:34
e005969,U000486,doc_edit,,,mobile,Safari,,unknown,TRUE,2023-09-21 6:49
e005452,U002082,search,,,mobile,Brave,,780,FALSE,2023-04-20 15:18
E004928,U001855,PAGE_VIEW,/dashboard,2023-10-09 1:27,,Chrome,macOS,unknown,,2023-10-09 1:27
E008704,U001934,comment,,,desktop,Brave,,unknown,FALSE,2024-06-06 16:26
E006890,U000008,logout,/pricing,0000-00-00 00:00:00,tablet,,Android,,1,2024-12-30 16:30
E005074,U001995,doc_edit,,2023-11-24 7:12,,,Windows,270,TRUE,2023-11-24 7:12
E007617,U000841,login,/help,02/15/2024 22:51,desktop,,iOS,,TRUE,2024-02-15 22:51
E005905,U002544,doc_edit,,12/05/2023 12:34,,Edge,Android,,,2023-12-05 12:34
 E004936,u001284,comment,,2024-04-17,DESKTOP,,Windows,174,TRUE,2024-04-17 17:12
e000601,U001729,page_view,/settings,2024-11-30 7:59,DESKTOP,,Android,,TRUE,2024-11-30 7:59
E001953,U001926,integration_error,,,tablet,Brave,Windows,,TRUE,2025-04-19 4:37
E002267,U002536,comment,,03/17/2024 11:07,,Brave,Android,1340,TRUE,2024-03-17 11:07
E008696,U000662,search,,,tablet,Chrome,Android,,,2025-04-17 9:06
E006876, U000184 ,logout,/pricing,03/12/2023 00:35,mobile,Safari,macOS,unknown,TRUE,2023-03-12 0:35
E004487,U001633,comment,,2023-04-10,DESKTOP,,Windows,961,FALSE,2023-04-10 18:16
E006158,U000084,doc_edit,,05/03/2024 00:18,,,Windows,,,2024-05-03 0:18
E002294,u002453,doc_delete,,2023-06-01,,,,1159,TRUE,2023-06-01 23:17
E001795,U000715,doc_edit,,04/21/2024 10:07,tablet,Edge,,,TRUE,2024-04-21 10:07
E002318,U000448,doc_edit,,06/19/2024 02:11,,Brave,iOS,921,0,2024-06-19 2:11
E000941,U001176,doc_edit,,0000-00-00 00:00:00,tablet,Safari,iOS,,,2025-04-24 15:26
