subscription_id,user_id,plan_name,billing_cycle,price_amount,currency,status,start_date,end_date,payment_method,auto_renew,cancel_reason,created_at,updated_at
S01413,U000599,Business,Monthly,120,EUR,active,2024-11-16,,paypal,,performance issues,16-11-2024,13-01-2025
S03469,U001663,Free,monthly,0,GBP,canceled,04/08/2025,2025-06-13,,FALSE,too expensive,04/08/2025,02-06-2025
S04406,USR-000247,Trial,monthly,0,CAD,paused,2024-02-14,2025-01-30,paypal,FALSE,performance issues,2024-02-14,11-07-2024
S03240,U001596,Pro,annual,49,CAD,canceled,06-01-2025,03/31/2025,CARD,,,2025-01-06,03-04-2025
S00780,U000737,Starter,Monthly,19,USD,canceled,09/26/2023,04/08/2024,paypal,0,N/A,09/26/2023,15-02-2024
S00766,USR-000483,Trial,,0,USD,paused,03/17/2024,03/21/2025,,FALSE,missing features,03/17/2024,04/05/2024
S01925,U000884,Pro,monthly,50,EUR,canceled,2024-10-28,2025-06-02,card,0,too expensive,10/28/2024,05/15/2025
S04102,U000605,Trial,annual,0,,CANCELLED,2024-04-10,0000-00-00,,TRUE,switched competitor,2024-04-10,2024-09-20 0:00
S01342,U002503,Business,,99,,paused,24-07-2024,16-01-2025,invoice,,too expensive,2024-07-24 0:00,2024-08-24
S02998,u000585,Pro,annual,49,GBP,ACTIVE,2023-12-02,,card,,N/A,2023-12-02 0:00,06/03/2024
S03148,U000846,Enterprise,ANNUAL,499,usd,CANCELLED,01/03/2023,0000-00-00,wire,TRUE,onboarding difficulty,2023-01-03,02-04-2023
S02113,U000104,Starter,monthly,20,GBP,active,27-10-2024,,,0,,27-10-2024,03/24/2025
S03111,U000528,Enterprise,ANNUAL,,GBP,active,2023-05-06 0:00,,card,1,performance issues,2023-05-06 0:00,2023-11-14 0:00
S03648,U001603,Free,annual,0,EUR,past_due,23-03-2025,,invoice,FALSE,,2025-03-23 0:00,2025-06-28 0:00
S03019,U002348,Business,annual,99,usd,paused,07/15/2023,2023-11-19,,TRUE,switched competitor,07/15/2023,2023-10-22
S00939,U001082,Trial,,0,usd,CANCELLED,2024-01-17 0:00,2024-06-20 0:00,card,,switched competitor,2024-01-17,2024-02-22 0:00
S02469,U002012,Free,,0,,past_due,2023-11-28,,invoice,0,onboarding difficulty,2023-11-28,2024-01-06 0:00
S01629,U000719,Pro,,50,EUR,past_due,10-04-2024,,paypal,0,N/A,04/10/2024,29-06-2024
S00163,USR-002262,Trial,monthly,0,CAD,CANCELLED,2023-01-12,05/30/2023,card,0,,2023-01-12,2023-01-29
S04191,U000357,Free,,0,usd,trialing,2024-06-27 0:00,,CARD,FALSE,performance issues,2024-06-27,2024-11-03
S02558,U002020,Pro,annual,49,GBP,canceled,10/19/2023,2024-10-26 0:00,wire,FALSE,performance issues,10/19/2023,2023-12-01
S04000,U000599,Starter,,20,,paused,2025-02-08,06/16/2025,card,,,2025-02-08,06/09/2025
S02049,U000791,Pro,,50,GBP,past_due,03/25/2023,,,TRUE,too expensive,2023-03-25 0:00,04/23/2023
S00014,U001044,Pro,annual,59,,trialing,08/13/2023,,CARD,TRUE,performance issues,2023-08-13,04-11-2023
S01123,U000349,Free,ANNUAL,0,,ACTIVE,2023-05-19,,card,FALSE,onboarding difficulty,2023-05-19 0:00,2023-11-05
S01073,U000230,Starter,annual,25,USD,canceled,2024-09-22 0:00,06/29/2025,,FALSE,,22-09-2024,2024-10-14
S03257,U000155,Enterprise,annual,,USD,past_due,22-01-2025,,CARD,FALSE,N/A,01/22/2025,03/09/2025
S03734,U000253,Enterprise,monthly,299,USD,past_due,12/29/2024,,paypal,,N/A,2024-12-29,2025-04-09
S00087,U001521,Business,,99,EUR,ACTIVE,2024-09-29 0:00,,card,FALSE,N/A,29-09-2024,2024-12-10 0:00
S03171,U000105,Trial,Monthly,0,EUR,past_due,08-08-2024,,CARD,TRUE,onboarding difficulty,2024-08-08,2025-02-18
S04232,U000199,Trial,annual,0,,trialing,29-01-2023,,paypal,TRUE,low usage,2023-01-29,2023-06-03
s03188,U000045,Enterprise,annual,399,usd,ACTIVE,2024-09-28 0:00,,invoice,FALSE,performance issues,2024-09-28 0:00,12/16/2024
S00531,U002430,Trial,,0,USD,CANCELLED,31-12-2023,08/10/2024,CARD,,onboarding difficulty,12/31/2023,03-03-2024
S03177,U001283,Trial,Monthly,0,,canceled,2023-11-03,2024-01-24,wire,FALSE,missing features,2023-11-03 0:00,2024-04-17
S03212,U000008,Starter,ANNUAL,19,GBP,paused,04/11/2023,04/20/2024,wire,0,,04/11/2023,2023-05-16
S02475,U001505,Free,monthly,0,GBP,paused,2023-11-24,11/14/2024,invoice,FALSE,performance issues,2023-11-24 0:00,2023-12-17
S02928,U001703,Enterprise,,custom,usd,canceled,2024-06-09 0:00,07/01/2024,card,TRUE,,2024-06-09,2024-07-10 0:00
S01542,U001055,Business,,149,EUR,active,2024-11-19 0:00,,invoice,TRUE,N/A,19-11-2024,09-02-2025
S01208,U000351,Free,,0,EUR,ACTIVE,2023-10-08,,CARD,,,08-10-2023,09-10-2023
S04448,U001305,Enterprise,ANNUAL,custom,,trialing,2025-01-05,,card,FALSE,missing features,2025-01-05,2025-05-02
S01005,U000929,Free,,0,,past_due,2024-05-10,,card,,too expensive,10-05-2024,11/13/2024
S02769,U002239,Starter,annual,,GBP,CANCELLED,2023-07-10,2024-02-21,card,FALSE,,10-07-2023,26-01-2024
S01045,U000519,Business,ANNUAL,99,EUR,ACTIVE,10/12/2024,,wire,TRUE,N/A,2024-10-12 0:00,2025-02-17 0:00
S02586,U000868,Starter,Monthly,19,GBP,active,29-12-2023,,paypal,1,missing features,29-12-2023,2024-03-08
S00744,U001189,Starter,Monthly,19,CAD,paused,2024-09-26,2025-06-04,wire,,too expensive,09/26/2024,2025-04-13
S03869,U002520,Starter,,,,CANCELLED,19-02-2023,2023-06-18 0:00,paypal,TRUE,,02/19/2023,2023-05-22
S00856,U001471,Business,monthly,99,,CANCELLED,05/16/2023,2024-05-14 0:00,paypal,TRUE,,16-05-2023,09/15/2023
S04114,U001508,Enterprise,ANNUAL,,EUR,past_due,2023-06-24 0:00,0000-00-00,CARD,,switched competitor,2023-06-24,2023-10-26
S03104,U001689,Enterprise,annual,499,EUR,canceled,12/01/2023,28-05-2024,CARD,FALSE,,01-12-2023,2024-06-07
S00101,USR-001845,Pro,,49,,paused,07-08-2024,2025-03-23,paypal,TRUE,low usage,07-08-2024,2024-10-04
S00866,U000959,Free,annual,0,USD,trialing,2025-05-05 0:00,0000-00-00,wire,TRUE,,2025-05-05 0:00,2025-09-05
S03738,U000350,Starter,ANNUAL,,,past_due,2023-06-02 0:00,,,FALSE,performance issues,2023-06-02,2023-08-03
S03039,U002058,Business,,120,CAD,past_due,04/10/2023,,paypal,TRUE,N/A,2023-04-10 0:00,13-07-2023
S02193,U000189,Trial,annual,0,USD,past_due,06/14/2024,,,,missing features,2024-06-14 0:00,09/09/2024
S02637,U001037,Pro,,49,EUR,trialing,07/27/2023,,paypal,FALSE,,2023-07-27 0:00,2024-01-21 0:00
S01831,U001196,Free,,0,USD,trialing,2023-05-06,,card,FALSE,N/A,2023-05-06 0:00,2023-08-26
S00903,U001426,Business,ANNUAL,99,USD,trialing,04/26/2023,,paypal,0,N/A,26-04-2023,08-06-2023
S01239,U002486,Pro,,49,GBP,active,13-06-2024,,CARD,1,low usage,06/13/2024,2024-07-25
S01591,U001241,Trial,monthly,0,USD,past_due,2025-06-09 0:00,,paypal,,low usage,2025-06-09 0:00,19-09-2025
S01366,U002375,Free,ANNUAL,0,CAD,trialing,04/02/2024,,paypal,,,04/02/2024,19-09-2024
S01168,U001266,Enterprise,ANNUAL,custom,,active,2024-02-08,,card,TRUE,low usage,2024-02-08 0:00,04/09/2024
S00791,U000054,Business,ANNUAL,99,GBP,trialing,2024-11-21,,,FALSE,performance issues,21-11-2024,24-01-2025
s01547,U001301,Free,,0,CAD,trialing,05/11/2024,,invoice,0,,05/11/2024,20-05-2024
S03736,U001299,Free,ANNUAL,0,usd,trialing,26-01-2023,,CARD,FALSE,switched competitor,26-01-2023,16-03-2023
S01795,U002480,Enterprise,ANNUAL,,EUR,canceled,03/11/2023,18-04-2023,,TRUE,N/A,2023-03-11,2023-05-14 0:00
S02343,U000403,Enterprise,Monthly,custom,,active,23-03-2024,,paypal,1,switched competitor,23-03-2024,03-07-2024
S00033,U000892,Enterprise,,399,EUR,canceled,17-09-2023,06/10/2024,paypal,FALSE,,2023-09-17 0:00,04-03-2024
S00709,U001148,Pro,,59,USD,CANCELLED,23-03-2024,03-10-2024,paypal,1,performance issues,2024-03-23,08/28/2024
S01055,U001978,Starter,Monthly,,USD,CANCELLED,02/13/2024,03/18/2024,card,0,performance issues,2024-02-13 0:00,2024-08-02
S02153,U001128,Enterprise,annual,custom,GBP,paused,22-01-2023,2023-07-10 0:00,CARD,,onboarding difficulty,2023-01-22,01/31/2023
S02669,U000005,Business,monthly,99,,active,22-04-2024,,invoice,,too expensive,04/22/2024,09/19/2024
S00861,U001733,Pro,,49,USD,trialing,2024-01-16 0:00,,,TRUE,,2024-01-16,16-02-2024
S03890,U000317,Starter,annual,19,,ACTIVE,2024-07-16,,paypal,FALSE,,2024-07-16,05-10-2024
S01699,U001398,Free,Monthly,0,EUR,ACTIVE,2024-02-01,,CARD,,,01-02-2024,2024-06-05 0:00
S02279,U001124,Pro,Monthly,49,usd,trialing,2024-07-24,,,TRUE,performance issues,24-07-2024,2025-02-05 0:00
S02823,U000415,Pro,,59,,ACTIVE,06/29/2024,,invoice,,performance issues,29-06-2024,07-10-2024
S03314,U002183,Enterprise,annual,399,usd,past_due,03/11/2023,,paypal,1,,03/11/2023,2023-05-31
S03713,U001494,Pro,ANNUAL,49,USD,CANCELLED,01/27/2023,19-08-2023,paypal,0,low usage,2023-01-27 0:00,06/28/2023
S00529,U002300,Enterprise,,,EUR,canceled,08/06/2023,03/15/2024,wire,FALSE,performance issues,2023-08-06 0:00,2023-11-04
S04363,U000674,Pro,monthly,59,CAD,canceled,23-03-2025,11-02-2026,CARD,TRUE,low usage,2025-03-23 0:00,2025-10-05 0:00
S03220,U000057,Business,Monthly,99,EUR,paused,2024-07-04,2025-02-12,invoice,,performance issues,2024-07-04,12/26/2024
S02094,U000116,Pro,monthly,59,CAD,canceled,2023-08-04,0000-00-00,paypal,TRUE,switched competitor,2023-08-04 0:00,2023-10-29
S00095,U002100,Free,,0,EUR,active,2025-04-08,,card,,low usage,2025-04-08 0:00,2025-08-02 0:00
S01300,U000852,Starter,annual,25,EUR,past_due,2024-09-16,,,TRUE,,16-09-2024,03/01/2025
S02410,U000336,Business,ANNUAL,149,usd,CANCELLED,17-07-2023,08/25/2023,paypal,,switched competitor,2023-07-17,2023-08-11 0:00
s00684,U000974,Trial,ANNUAL,0,CAD,past_due,2023-03-31 0:00,,invoice,,switched competitor,31-03-2023,04-09-2023
S04099,U001668,Trial,monthly,0,,canceled,05/03/2025,2025-08-28,paypal,1,,03-05-2025,09/21/2025
S03577,U000901,Pro,,49,,active,03/22/2023,,paypal,TRUE,switched competitor,03/22/2023,2023-09-21
S03766,U001012,Business,ANNUAL,120,USD,ACTIVE,2025-01-13 0:00,,paypal,,onboarding difficulty,2025-01-13,05/19/2025
S00370,U002142,Free,annual,0,,trialing,2024-10-12,,paypal,1,switched competitor,10/12/2024,04/26/2025
S00199,U001506,Business,annual,99,usd,past_due,2024-12-05,,invoice,FALSE,low usage,12/05/2024,2025-03-23 0:00
S04440,U000272,Starter,,25,CAD,trialing,06-08-2023,,,TRUE,missing features,08/06/2023,10/18/2023
S01372,U001533,Pro,annual,49,EUR,past_due,2025-05-22,,,,low usage,2025-05-22 0:00,27-08-2025
S00697,U001525,Enterprise,ANNUAL,,CAD,ACTIVE,17-08-2023,,wire,0,,2023-08-17,20-11-2023
S02711,u001245,free,ANNUAL,0,EUR,active,16-03-2024,,,TRUE,onboarding difficulty,16-03-2024,01-08-2024
S01108,U000872,Business,,99,CAD,trialing,15-02-2025,,wire,,performance issues,02/15/2025,28-02-2025
S04098,U001991,Business,,99,,trialing,13-09-2023,,invoice,,switched competitor,2023-09-13,12/24/2023
s01709,U001114,Free,ANNUAL,0,CAD,active,2024-01-04,,CARD,FALSE,missing features,2024-01-04,02/14/2024
S02657,U000253,Free,Monthly,0,,paused,12-03-2024,2024-10-15,paypal,FALSE,performance issues,2024-03-12,2024-09-24
S00332,U002455,Free,annual,0,usd,past_due,2023-10-20 0:00,,CARD,,onboarding difficulty,2023-10-20,17-03-2024
S00114,U000993,Trial,monthly,0,USD,ACTIVE,25-12-2024,,CARD,FALSE,N/A,12/25/2024,2025-02-13
 S01013,U000197,Pro,ANNUAL,49,USD,canceled,2023-06-18,2023-07-27,,TRUE,,2023-06-18,08/19/2023
S02125,U001176,Business,monthly,99,EUR,trialing,2024-12-16 0:00,,,FALSE,low usage,12/16/2024,2025-02-06 0:00
S00969,U001651,Pro,,49,usd,ACTIVE,2025-04-18,,wire,TRUE,missing features,04/18/2025,2025-08-18 0:00
S02481,U001655,Pro,Monthly,59,GBP,paused,02/15/2024,30-03-2024,CARD,TRUE,,02/15/2024,07/31/2024
S03853,U001388,Pro,annual,49,EUR,canceled,2023-12-05,2024-08-06 0:00,card,FALSE,missing features,2023-12-05 0:00,13-03-2024
S01422,USR-000054,Free,,0,,CANCELLED,2025-04-17,02/19/2026,CARD,0,N/A,2025-04-17,21-06-2025
S04334,U002055,Enterprise,,,usd,ACTIVE,03/01/2023,,invoice,TRUE,N/A,03/01/2023,2023-05-25
S00361,U000063,Enterprise,,399,USD,paused,05-05-2023,07/24/2023,,,,05/05/2023,15-06-2023
S02237,U000132,Pro,ANNUAL,50,GBP,active,2023-06-15,,wire,1,onboarding difficulty,15-06-2023,25-09-2023
S03702,U000405,Business,,99,,past_due,02/15/2025,,CARD,1,switched competitor,02/15/2025,2025-03-31 0:00
S01004,U000493,Business,annual,120,EUR,ACTIVE,2023-02-22,,invoice,TRUE,,02/22/2023,29-04-2023
S00832,U000007,Starter,Monthly,20,,active,05/11/2023,0000-00-00,wire,,,05/11/2023,2023-09-01
S03239,U000352,Pro,,49,CAD,past_due,2023-05-08 0:00,0000-00-00,,,too expensive,2023-05-08 0:00,16-07-2023
S02014,U002125,Starter,monthly,20,GBP,paused,07/30/2023,2024-03-24 0:00,CARD,TRUE,too expensive,07/30/2023,2023-09-12 0:00
S01121,U001549,Pro,ANNUAL,50,,trialing,2024-06-26 0:00,,card,TRUE,N/A,06/26/2024,2024-07-20
S02790,U001800,Enterprise,,399,,trialing,05/07/2023,,paypal,,performance issues,07-05-2023,01-07-2023
S04405,U000712,Pro,,49,,trialing,2023-03-28 0:00,0000-00-00,invoice,TRUE,low usage,28-03-2023,07/09/2023
S01986,U002407,Business,ANNUAL,99,usd,paused,02/22/2024,2024-06-19 0:00,,,,22-02-2024,05/06/2024
S02750,U002493,Free,monthly,0,usd,active,04/13/2025,,,,too expensive,2025-04-13,19-08-2025
S00265,U000941,Starter,monthly,20,CAD,paused,2025-03-27 0:00,2025-08-15,wire,,N/A,2025-03-27,2025-09-09
S04405,U001026,Starter,ANNUAL,20,EUR,paused,03/12/2025,01/14/2026,paypal,TRUE,,03/12/2025,2025-04-02
S01789,U001054,Trial,annual,0,,ACTIVE,2024-07-29,,wire,FALSE,too expensive,07/29/2024,2025-01-14
S02256,U002131,Pro,,49,GBP,canceled,2024-12-25 0:00,2025-11-05,wire,,missing features,2024-12-25 0:00,03/05/2025
S03757,U001131,Starter,ANNUAL,19,USD,canceled,21-07-2023,03-11-2023,paypal,TRUE,low usage,2023-07-21,25-09-2023
S02807,U001696,Trial,ANNUAL,0,usd,active,2023-05-25,,invoice,FALSE,onboarding difficulty,2023-05-25 0:00,2023-11-01
S00955, U000087 ,Trial,annual,0,,CANCELLED,06/03/2023,0000-00-00,paypal,,too expensive,2023-06-03,2023-09-30 0:00
S01915,U001403,Pro,ANNUAL,49,EUR,paused,2024-05-16,22-07-2024,wire,TRUE,missing features,16-05-2024,2024-08-05
S00473,u000168,Enterprise,ANNUAL,399,CAD,past_due,2023-05-16,,CARD,TRUE,performance issues,2023-05-16,2023-09-17
S00629,U001976,Enterprise,ANNUAL,,,CANCELLED,04-01-2025,09/06/2025,CARD,,too expensive,2025-01-04 0:00,2025-02-10 0:00
S01555,U000072,Starter,annual,,,paused,2023-05-18,2024-06-03,,0,,18-05-2023,2023-10-17
S02179,USR-000852,Business,annual,120,EUR,active,2025-06-06 0:00,,wire,TRUE,,06-06-2025,10/27/2025
S03166,U001613,Pro,monthly,49,CAD,paused,2024-04-29,2024-09-24,card,FALSE,low usage,29-04-2024,06/04/2024
S03077,U001286,Free,,0,EUR,canceled,29-09-2024,2025-01-04 0:00,invoice,FALSE,performance issues,2024-09-29 0:00,2024-11-05 0:00
S02739,U001527,Business,,149,GBP,ACTIVE,28-09-2023,,paypal,TRUE,,09/28/2023,01-12-2023
S00014,U002155,Free,monthly,0,GBP,active,02/26/2023,,CARD,0,onboarding difficulty,26-02-2023,2023-08-26 0:00
S00709,U000227,Free,,0,EUR,paused,02/10/2023,2024-02-16,invoice,,low usage,2023-02-10 0:00,2023-04-26 0:00
S02105,U001650,Free,ANNUAL,0,USD,CANCELLED,13-05-2023,2023-10-28,wire,1,performance issues,2023-05-13 0:00,2023-07-12
S00889,u001156,Trial,,0,GBP,past_due,2024-05-20 0:00,,CARD,TRUE,too expensive,2024-05-20,30-07-2024
S03509,U001252,Pro,Monthly,49,USD,paused,05/25/2025,29-04-2026,CARD,0,low usage,2025-05-25,26-07-2025
S03987,U001629,Trial,annual,0,GBP,canceled,2024-11-21,2025-05-24,wire,FALSE,missing features,21-11-2024,02/20/2025
S04111,u001765,Enterprise,,,,canceled,03/07/2024,2024-06-25,CARD,,onboarding difficulty,07-03-2024,05-04-2024
s02381,U000449,Trial,ANNUAL,0,EUR,active,2024-07-05,,card,TRUE,performance issues,07/05/2024,2024-12-19
S00269,U000005,Business,,149,,paused,2023-06-27 0:00,2024-03-27 0:00,paypal,,,27-06-2023,2023-07-09 0:00
S00674,U000009,Enterprise,,custom,CAD,ACTIVE,2023-12-27,,wire,0,switched competitor,27-12-2023,15-01-2024
S04152,U002537,Free,ANNUAL,0,CAD,ACTIVE,2024-11-01,,,1,N/A,2024-11-01,2025-02-15 0:00
S00823,U000490,Trial,monthly,0,GBP,past_due,2024-04-24 0:00,,wire,FALSE,switched competitor,24-04-2024,05/01/2024
S02392,u000905,Starter,monthly,19,GBP,ACTIVE,15-12-2024,0000-00-00,,,N/A,12/15/2024,03/28/2025
S01989,U002171,Free,,0,,canceled,2024-08-29 0:00,2025-01-31 0:00,card,FALSE,low usage,2024-08-29 0:00,31-12-2024
S02109,U002034,Free,ANNUAL,0,,past_due,30-03-2025,,card,0,switched competitor,30-03-2025,2025-08-11 0:00
S04129,U002087,Business,ANNUAL,99,EUR,trialing,2024-05-10 0:00,,card,,,2024-05-10,2024-10-30 0:00
S03170,U002422,Enterprise,Monthly,299,EUR,paused,04-03-2023,06/22/2023,card,1,missing features,04-03-2023,30-06-2023
S03417,U002195,Free,,0,,CANCELLED,24-05-2024,01/07/2025,,,N/A,2024-05-24 0:00,05/27/2024
S01488,U000059,Enterprise,Monthly,399,EUR,past_due,2023-05-28 0:00,,,TRUE,N/A,2023-05-28 0:00,02-07-2023
S02679,U001009,Enterprise,,399,,active,04-10-2024,,card,TRUE,too expensive,2024-10-04 0:00,2024-12-24 0:00
S03886,U000006,trial,Monthly,0,,active,15-02-2024,,CARD,,switched competitor,2024-02-15 0:00,03/29/2024
S04296,U002531,Starter,ANNUAL,19,,CANCELLED,01/24/2024,05-09-2024,paypal,FALSE,N/A,2024-01-24 0:00,02/22/2024
S03986,U000275,Free,ANNUAL,0,usd,past_due,10/17/2024,,,1,low usage,2024-10-17,2025-05-04
S04344,U001407,Free,,0,,active,11/26/2023,,card,0,too expensive,2023-11-26,2024-04-17 0:00
S01184,U001615,Starter,,19,GBP,paused,16-02-2025,2025-08-02 0:00,CARD,TRUE,performance issues,02/16/2025,2025-04-23
S03997,U001345,Free,annual,0,GBP,trialing,13-01-2023,,,,switched competitor,2023-01-13 0:00,02/08/2023
S01698,U000998,Enterprise,,custom,usd,past_due,2024-10-06,,,1,too expensive,06-10-2024,01-11-2024
S00180,U001879,Business,,149,,paused,2023-10-21,2024-11-20,paypal,1,low usage,2023-10-21,23-01-2024
S01791,U000925,Starter,,19,,ACTIVE,2024-01-10 0:00,,invoice,0,,2024-01-10,04/05/2024
S01025,U001210,Starter,monthly,19,usd,past_due,2023-01-18,,paypal,,too expensive,18-01-2023,25-02-2023
S01502,U001977,Pro,,49,GBP,CANCELLED,2023-11-07 0:00,2024-06-15 0:00,,0,missing features,11/07/2023,2024-01-30
s03746,U001196,Pro,,59,CAD,trialing,03/02/2025,,invoice,TRUE,switched competitor,2025-03-02,2025-09-08 0:00
S00968,U000831,Starter,Monthly,19,,active,20-07-2024,,card,1,switched competitor,2024-07-20,2025-02-03
S00354,U002488,Trial,,0,EUR,CANCELLED,2024-03-24,09-09-2024,,FALSE,too expensive,03/24/2024,08-08-2024
S04097,U000186,Starter,Monthly,,GBP,CANCELLED,2025-02-18,03/19/2026,card,,low usage,2025-02-18,2025-04-07
S02369,U000265,Starter,Monthly,20,usd,past_due,2024-08-12,,,,too expensive,12-08-2024,2024-10-21
S00762,U001162,Starter,annual,,GBP,active,23-12-2024,,,1,,23-12-2024,23-05-2025
S00477,U000206,Pro,,49,GBP,canceled,2023-07-02 0:00,2024-02-17 0:00,,TRUE,,07/02/2023,17-01-2024
S04435,U001152,Business,annual,99,GBP,ACTIVE,10/31/2023,,CARD,,low usage,10/31/2023,2024-01-22
S03667,U001844,Starter,,19,GBP,past_due,02/01/2025,,,0,switched competitor,2025-02-01,02/14/2025
S03702,U001918,Enterprise,Monthly,499,USD,ACTIVE,2024-01-28,,,0,performance issues,01/28/2024,2024-05-27
S03760,U001315,Trial,monthly,0,,canceled,05/12/2025,03/05/2026,invoice,TRUE,too expensive,12-05-2025,2025-10-12
S03968,U002101,Pro,annual,49,,active,05/14/2025,,paypal,,,14-05-2025,13-07-2025
S02376,U001509,Starter,,20,,paused,09/12/2023,2024-02-10 0:00,paypal,,switched competitor,09/12/2023,12/11/2023
S03428,U000419,Pro,,49,EUR,active,2025-03-09 0:00,,invoice,,N/A,2025-03-09,2025-08-30 0:00
S03525,U000475,Starter,,20,,active,2024-08-01,,paypal,FALSE,,2024-08-01,01/17/2025
S01481,U001703,Starter,,19,USD,past_due,09/01/2023,,CARD,FALSE,,2023-09-01,2023-10-03 0:00
S03741,U000871,Free,monthly,0,,past_due,2025-01-09,,card,,,01/09/2025,05/27/2025
S01499,U001357,Free,ANNUAL,0,usd,CANCELLED,2024-11-24,02/02/2025,,FALSE,,11/24/2024,2025-02-05 0:00
S01837,U000316,Trial,,0,,canceled,2023-10-19 0:00,2024-04-25 0:00,,FALSE,missing features,10/19/2023,2024-04-18 0:00
S01523,U000810,Starter,annual,25,,ACTIVE,2025-06-04,,,1,N/A,06/04/2025,2025-08-05 0:00
S04473,USR-001137,Enterprise,Monthly,399,EUR,trialing,2024-10-24,,invoice,TRUE,onboarding difficulty,24-10-2024,05/02/2025
S00486,U001847,Enterprise,annual,399,,ACTIVE,06/15/2023,,wire,,N/A,2023-06-15,09/17/2023
S02239, U000627 ,Pro,Monthly,49,,paused,2024-10-06,2024-12-03 0:00,paypal,,performance issues,10/06/2024,27-12-2024
S01683,U000506,Business,,149,USD,canceled,2024-10-15,11/08/2025,wire,,switched competitor,15-10-2024,04/11/2025
