invoice_id,subscription_id,issue_date,due_date,paid_date,invoice_amount,currency,payment_status,payment_method,tax_applied,created_at
I01419,S01892,2024-06-21 0:00,0000-00-00,,449.85,CAD,refunded,,TRUE,2024-06-21 0:00
I00728,S02339,2024-11-09 0:00,2024-12-09,12/09/2024,318.85,GBP,failed,card,TRUE,2024-11-09 0:00
I00927,S03618,07/11/2024,08/10/2024,,291.02,CAD,paid,,0,2024-07-11 0:00
I00314,S04411,03/18/2024,2024-04-17,,71.01,CAD,paid,wire,0,2024-03-18 0:00
I00530,S02769,2024-03-28,2024-04-27 0:00,,,USD,paid,,FALSE,2024-03-28 0:00
I00584,S03393,05/27/2024,0000-00-00,2024-06-04 0:00,270.54,USD,paid,paypal,,2024-05-27 0:00
I01376,S02158,2025-05-04,06/03/2025,,349.22,usd,paid,invoice,TRUE,2025-05-04 0:00
I01101,S00701,03/01/2024,0000-00-00,0000-00-00,138.77,GBP,PAID,CARD,,2024-03-01 0:00
I00759,S02621,,2024-01-16 0:00,0000-00-00,487.73,CAD,FAILED,invoice,FALSE,2023-12-17 0:00
I00374,S00196,0000-00-00,01/11/2024,12/13/2023,411.27,,partial,invoice,,2023-12-12 0:00
I01279,S02508,05/06/2023,2023-06-05,,455.37,,FAILED,,0,2023-05-06 0:00
I01500,S03656,2024-12-12 0:00,2025-01-11 0:00,2024-12-18,,,paid,card,TRUE,2024-12-12 0:00
I01363,S01263,2024-05-24,2024-06-23 0:00,,443.76,GBP,FAILED,wire,,2024-05-24 0:00
I00476,s01146,2024-01-12,2024-02-11,,201.16,,partial,paypal,FALSE,2024-01-12 0:00
I01486,S02650,2024-08-12,09/11/2024,2024-09-09,192,CAD,partial,paypal,TRUE,2024-08-12 0:00
I00772,S00780,08/03/2024,2024-09-02,,,CAD,,invoice,1,2024-08-03 0:00
I00993, S03449,2024-12-17,2025-01-16,,90.44,CAD,,paypal,TRUE,2024-12-17 0:00
I00758,S01676,2025-01-06,2025-02-05,01/18/2025,381.7,,partial,wire,TRUE,2025-01-06 0:00
I01537,s00695,2025-03-06,2025-04-05 0:00,0000-00-00,480.54,CAD,refunded,wire,,2025-03-06 0:00
I01031,  S00732,0000-00-00,2024-05-14,04/16/2024,184.68,,,paypal,1,2024-04-14 0:00
I01601,S00415,04/05/2023,05/05/2023,2023-05-12,318.95,GBP,,,FALSE,2023-04-05 0:00
I00759,S00791,12/03/2023,2024-01-02 0:00,2023-12-05,463.64,GBP,,wire,TRUE,2023-12-03 0:00
I01406,S01372,,04/11/2025,2025-04-05,16.34,GBP,paid,wire,,2025-03-12 0:00
I00271,S02248,0000-00-00,,2025-06-24,85.04,,FAILED,,,2025-05-19 0:00
I01389,S01708,0000-00-00,,2023-10-16,134.24,usd,,card,FALSE,2023-09-30 0:00
I00952,S03898,0000-00-00,0000-00-00,0000-00-00,319.93,EUR,partial,paypal,TRUE,2023-06-14 0:00
I00164,S00146,2023-03-23 0:00,2023-04-22 0:00,2023-04-11,379.57,USD,PAID,invoice,TRUE,2023-03-23 0:00
I01090,S03649,02/12/2024,2024-03-13,0000-00-00,462.2,GBP,failed,CARD,1,2024-02-12 0:00
I00378,S01779,0000-00-00,2024-04-17,,271.47,USD,failed,wire,TRUE,2024-03-18 0:00
I00647,S03984,2023-04-13,2023-05-13,,201.99,usd,,paypal,,2023-04-13 0:00
I01403,S01240,02/11/2023,0000-00-00,03/21/2023,225.47,GBP,paid,,FALSE,2023-02-11 0:00
i01050,S02322,2024-05-31 0:00,2024-06-30 0:00,06/07/2024,414.5,usd,,card,TRUE,2024-05-31 0:00
I01439,S01139,0000-00-00,2024-07-06,2024-07-05 0:00,76.51,CAD,,paypal,TRUE,2024-06-06 0:00
I00010,S03861,2024-12-20,0000-00-00,,211.32,GBP,PAID,wire,,2024-12-20 0:00
 I01339,S03471,2023-01-01,2023-01-31,2023-01-03,354.36,GBP,FAILED,wire,0,2023-01-01 0:00
I00988,S04481,0000-00-00,2025-04-27 0:00,,257,,paid,,TRUE,2025-03-28 0:00
I01561,S02320,2023-01-07 0:00,02/06/2023,2023-01-08,410.8,CAD,FAILED,,TRUE,2023-01-07 0:00
I00615,S03297,2023-05-16 0:00,2023-06-15,,411.91,usd,,wire,,2023-05-16 0:00
I01394,S03013,2023-11-07 0:00,0000-00-00,2023-11-19 0:00,30.33,GBP,failed,wire,0,2023-11-07 0:00
I00203,s02308,07/16/2024,2024-08-15 0:00,,N/A,CAD,PAID,card,FALSE,2024-07-16 0:00
I00978,s00001,0000-00-00,2023-11-21,11/16/2023,,usd,failed,paypal,,2023-10-22 0:00
i00963,S00202,0000-00-00,2025-03-04,,102.49,EUR,PAID,invoice,,2025-02-02 0:00
I01493,S02657,04/25/2025,2025-05-25,2025-06-02,475.39,EUR,refunded,wire,,2025-04-25 0:00
I01606,S02096,,,2023-02-22,470.45,usd,partial,,TRUE,2023-01-24 0:00
I01468,S02836,0000-00-00,0000-00-00,,418.99,CAD,,CARD,FALSE,2023-09-24 0:00
I00482,S02755,08/24/2024,2024-09-23,2024-09-18,,usd,FAILED,invoice,FALSE,2024-08-24 0:00
I01531, s00326,2023-10-22,0000-00-00,11/21/2023,303.85,CAD,,card,0,2023-10-22 0:00
I00931,S02310,12/10/2024,2025-01-09,0000-00-00,394.22,CAD,partial,invoice,1,2024-12-10 0:00
I00800,S01937,08/29/2023,09/28/2023,2023-09-29,467.99,CAD,,CARD,TRUE,2023-08-29 0:00
I01712,s01798,2023-12-15 0:00,2024-01-14,0000-00-00,,GBP,FAILED,paypal,TRUE,2023-12-15 0:00
i01630,S00455,2024-08-18 0:00,2024-09-17,,130.19,,refunded,card,TRUE,2024-08-18 0:00
I00645,S02377,02/15/2023,2023-03-17 0:00,2023-03-22,296.81,,failed,CARD,TRUE,2023-02-15 0:00
I00918, s02565,2025-03-23,2025-04-22 0:00,,55.13,GBP,PAID,invoice,TRUE,2025-03-23 0:00
I00337,S01023,04/27/2025,2025-05-27 0:00,,,,failed,invoice,,2025-04-27 0:00
I00787,S04114,,0000-00-00,,143.69,,,wire,1,2023-10-05 0:00
I00901,s01211,0000-00-00,2023-05-28 0:00,2023-05-25,446.7,GBP,partial,invoice,TRUE,2023-04-28 0:00
I00227,S01216,2023-10-26 0:00,0000-00-00,,473.7,CAD,failed,invoice,,2023-10-26 0:00
I01405,S01393,2025-02-18 0:00,0000-00-00,,127.46,,,wire,0,2025-02-18 0:00
I01268,S01914,2023-05-21,06/20/2023,2023-06-15 0:00,482.34,,failed,CARD,1,2023-05-21 0:00
I00235, S01964,0000-00-00,2024-03-01,2024-02-14,398.77,,FAILED,paypal,TRUE,2024-01-31 0:00
I01474,S03811,0000-00-00,11/16/2024,,,USD,,CARD,TRUE,2024-10-17 0:00
I00004,S03311,2023-09-14 0:00,2023-10-14 0:00,,101.7,GBP,PAID,paypal,,2023-09-14 0:00
I00619,SUB-01499,0000-00-00,03/10/2023,2023-02-16,40.59,usd,refunded,invoice,TRUE,2023-02-08 0:00
I00153,S03859,2025-05-12,0000-00-00,0000-00-00,249.12,USD,partial,CARD,1,2025-05-12 0:00
I01065,S02510,2024-01-18,02/17/2024,0000-00-00,386.82,EUR,PAID,,0,2024-01-18 0:00
I00215,S01039,2024-08-12,2024-09-11 0:00,09/10/2024,103.7,,,,TRUE,2024-08-12 0:00
I01794,S01560,2023-07-08 0:00,0000-00-00,,404.99,,FAILED,invoice,0,2023-07-08 0:00
I01186, S00714,2025-01-29,2025-02-28,,115.59,EUR,,wire,TRUE,2025-01-29 0:00
I00263,S00405,2023-11-05,,0000-00-00,430.12,usd,,,,2023-11-05 0:00
I01474,S04371,,2023-04-10,04/06/2023,467.35,USD,partial,,,2023-03-11 0:00
I01717,S01435,2024-11-12,2024-12-12,,474.64,USD,refunded,,0,2024-11-12 0:00
I01500,S04226,04/25/2024,0000-00-00,2024-05-06,475.11,,refunded,,FALSE,2024-04-25 0:00
I01561,S02320,2023-01-07 0:00,02/06/2023,2023-01-08,410.8,CAD,FAILED,,TRUE,2023-01-07 0:00
I01184,S03649,,,,23.67,GBP,PAID,,FALSE,2024-08-23 0:00
I01477, S03351,09/18/2023,2023-10-18,0000-00-00,462.05,usd,PAID,,,2023-09-18 0:00
I01655,S02433,0000-00-00,0000-00-00,05/20/2025,227.66,EUR,FAILED,paypal,FALSE,2025-05-03 0:00
I01582,S03588,2025-05-14,2025-06-13 0:00,0000-00-00,191.54,USD,,wire,FALSE,2025-05-14 0:00
I01123,S01667,,,2023-07-10,,GBP,,,FALSE,2023-06-12 0:00
 I00076,S00387,2025-05-06 0:00,06/05/2025,,28.93,GBP,failed,paypal,1,2025-05-06 0:00
 I01339,SUB-01130,2023-10-05,2023-11-04 0:00,10/17/2023,,,partial,,TRUE,2023-10-05 0:00
I00241,S01617,2025-02-08,2025-03-10 0:00,,422.91,usd,paid,,FALSE,2025-02-08 0:00
I01504,S04343,2023-11-07 0:00,0000-00-00,0000-00-00,330.6,,paid,card,0,2023-11-07 0:00
I00933,S00869,2023-12-13,01/12/2024,,462.99,,refunded,paypal,FALSE,2023-12-13 0:00
I00090,s00293,,,2024-02-04,82.22,GBP,FAILED,card,0,2024-01-01 0:00
I00458,S02105,2024-01-14 0:00,02/13/2024,,328.98,,paid,,0,2024-01-14 0:00
I00100,S03738,03/02/2023,0000-00-00,,308.57,,refunded,paypal,TRUE,2023-03-02 0:00
I00521,S02748,2024-01-06,2024-02-05 0:00,2024-01-25,328.93,EUR,paid,CARD,FALSE,2024-01-06 0:00
I00180,S02401,2024-12-25 0:00,2025-01-24 0:00,0000-00-00,287.77,CAD,,CARD,TRUE,2024-12-25 0:00
I00318,s03053,2024-06-01,2024-07-01 0:00,2024-06-10 0:00,55.6,,,,0,2024-06-01 0:00
I01208, S03161,2024-01-13 0:00,2024-02-12 0:00,,431.51,USD,,,0,2024-01-13 0:00
I00211,S03151,0000-00-00,0000-00-00,2025-01-01 0:00,476.63,,,,TRUE,2025-01-01 0:00
I00753,S00929,09/20/2024,2024-10-20,09/29/2024,22.17,usd,refunded,invoice,TRUE,2024-09-20 0:00
I01531,S02401,0000-00-00,,,465.55,,PAID,invoice,TRUE,2024-02-05 0:00
I00145,S00780,,0000-00-00,,449.95,,partial,wire,,2023-05-22 0:00
I00429,S04157,2024-11-21 0:00,2024-12-21 0:00,0000-00-00,,EUR,failed,invoice,1,2024-11-21 0:00
I01320,S04060,2023-07-02,2023-08-01,,251.74,EUR,,invoice,0,2023-07-02 0:00
I00468,S03666,2023-03-03,0000-00-00,,78.52,USD,failed,,TRUE,2023-03-03 0:00
I00490,S01279,07/06/2024,,08/03/2024,66.42,,,card,,2024-07-06 0:00
I00789,S01273,2024-06-03 0:00,2024-07-03,,248.14,usd,PAID,card,TRUE,2024-06-03 0:00
I01453,S04328,0000-00-00,0000-00-00,,424.33,,,paypal,0,2023-10-29 0:00
I01182,S03400,2024-12-01,2024-12-31 0:00,2024-12-30,490.61,GBP,,CARD,TRUE,2024-12-01 0:00
I01646, S01061,2023-01-27 0:00,2023-02-26,,172.02,,refunded,,TRUE,2023-01-27 0:00
I01542,S02359,0000-00-00,0000-00-00,,82.65,usd,paid,,TRUE,2023-03-15 0:00
I01172,S02352,2025-01-24 0:00,02/23/2025,,367.53,,PAID,,1,2025-01-24 0:00
I01107,S02099,0000-00-00,2023-05-04 0:00,0000-00-00,467.07,EUR,FAILED,paypal,FALSE,2023-04-04 0:00
I00695,S03859,2023-12-19,0000-00-00,,371.89,usd,,invoice,TRUE,2023-12-19 0:00
I00117,S03551,06/23/2023,0000-00-00,2023-07-05,308.9,usd,failed,,,2023-06-23 0:00
I00621,S03866,0000-00-00,2023-11-21 0:00,11/02/2023,256.3,EUR,partial,card,,2023-10-22 0:00
I00749,S00514,06/27/2024,,2024-07-31 0:00,293.87,,refunded,wire,FALSE,2024-06-27 0:00
I01610,S03662,2024-01-20,2024-02-19,2024-02-20 0:00,312.44,USD,failed,CARD,,2024-01-20 0:00
I00708,S02257,2024-05-16,06/15/2024,0000-00-00,63.27,GBP,FAILED,,,2024-05-16 0:00
I00346,S02438,0000-00-00,0000-00-00,0000-00-00,320.2,EUR,paid,CARD,FALSE,2023-12-04 0:00
i00705,S04200,01/02/2024,0000-00-00,2024-02-02,35.49,GBP,,card,0,2024-01-02 0:00
I00117,S00711,0000-00-00,0000-00-00,,121.84,GBP,FAILED,CARD,TRUE,2023-06-09 0:00
I00121,S02823,2024-08-27 0:00,0000-00-00,09/19/2024,338.23,,paid,invoice,FALSE,2024-08-27 0:00
I01025,S01887,0000-00-00,03/20/2024,0000-00-00,298.66,EUR,failed,paypal,1,2024-02-19 0:00
I01611,S02751,2024-10-22,11/21/2024,2024-11-02,451.74,EUR,,,1,2024-10-22 0:00
I01479,SUB-04328,0000-00-00,0000-00-00,0000-00-00,278.11,,,,TRUE,2023-10-24 0:00
I01590,S01607,0000-00-00,2025-04-29,2025-04-20 0:00,328.68,GBP,PAID,paypal,FALSE,2025-03-30 0:00
I01759,S00561,02/21/2024,,2024-03-16,39.4,CAD,refunded,,,2024-02-21 0:00
I01366,s00093,04/23/2024,2024-05-23 0:00,2024-05-21,192.43,EUR,paid,wire,FALSE,2024-04-23 0:00
I00762,S04374,2023-10-26,,2023-10-29 0:00,59.57,USD,paid,invoice,,2023-10-26 0:00
I00362,S03350,2023-07-21,08/20/2023,,119.71,usd,,paypal,FALSE,2023-07-21 0:00
I01238,S02893,0000-00-00,2023-09-17,2023-09-19,416.26,GBP,partial,paypal,TRUE,2023-08-18 0:00
I01026,S00272,2025-03-21,0000-00-00,2025-03-28,135.11,,refunded,invoice,0,2025-03-21 0:00
I00907,S02215,2023-01-30,2023-03-01,,385.31,GBP,refunded,card,1,2023-01-30 0:00
I01124,SUB-00711,0000-00-00,06/08/2023,05/24/2023,106.16,,,card,FALSE,2023-05-09 0:00
i00807,S04248,2024-07-08,08/07/2024,0000-00-00,322.93,usd,FAILED,card,1,2024-07-08 0:00
I01056,S01257,,0000-00-00,,461.6,usd,,,0,2025-01-29 0:00
I00775,S02473,2023-05-20,06/19/2023,,375.06,USD,refunded,,FALSE,2023-05-20 0:00
I01551,S00429,07/24/2023,2023-08-23,2023-08-07 0:00,135.37,CAD,FAILED,paypal,1,2023-07-24 0:00
I00129,S00968,0000-00-00,2023-09-30 0:00,,459.94,CAD,failed,paypal,1,2023-08-31 0:00
I01373,S01342,0000-00-00,,2025-06-03,,USD,PAID,CARD,FALSE,2025-05-25 0:00
I00308,S00843,2023-08-11,0000-00-00,2023-08-18,430.39,CAD,paid,CARD,TRUE,2023-08-11 0:00
I00383,S00662,,2024-11-17,0000-00-00,,CAD,failed,card,TRUE,2024-10-18 0:00
I00996,S03838,2024-11-16,0000-00-00,11/17/2024,65.47,EUR,PAID,,TRUE,2024-11-16 0:00
I00724,S03332,2023-12-16,2024-01-15,,200.52,USD,partial,invoice,0,2023-12-16 0:00
I01188,S02951,0000-00-00,2023-04-17 0:00,,93.95,,FAILED,CARD,FALSE,2023-03-18 0:00
I00923,S02261,05/19/2025,2025-06-18,05/26/2025,233.5,EUR,refunded,paypal,FALSE,2025-05-19 0:00
I01669,S01234,2025-01-31,2025-03-02,,206.23,EUR,PAID,invoice,FALSE,2025-01-31 0:00
I00381,S02511,09/01/2024,2024-10-01,0000-00-00,N/A,usd,,invoice,,2024-09-01 0:00
I01418,S02008,,0000-00-00,,,EUR,FAILED,invoice,FALSE,2025-06-18 0:00
I01010,s00365,2023-03-08 0:00,04/07/2023,0000-00-00,432.32,EUR,partial,,TRUE,2023-03-08 0:00
I00124,S01837,0000-00-00,2025-04-18 0:00,0000-00-00,480.09,GBP,refunded,wire,1,2025-03-19 0:00
I00140,S01189,2024-06-15,07/15/2024,2024-06-23,312.81,EUR,PAID,card,TRUE,2024-06-15 0:00
I00090,S04114,2023-02-21,2023-03-23,,303.94,USD,paid,,FALSE,2023-02-21 0:00
I00239,S03327,2023-04-30,0000-00-00,0000-00-00,421.54,USD,,invoice,1,2023-04-30 0:00
I00833,S02928,2024-12-25 0:00,0000-00-00,2025-01-09,414.18,GBP,,,FALSE,2024-12-25 0:00
I00075,S01282,10/13/2023,0000-00-00,0000-00-00,459.55,EUR,FAILED,,FALSE,2023-10-13 0:00
I00920,S03730,0000-00-00,04/08/2024,2024-03-27,399.97,EUR,paid,invoice,FALSE,2024-03-09 0:00
I00878,S01701,2023-03-01,03/31/2023,03/01/2023,422.8,,failed,paypal,TRUE,2023-03-01 0:00
I01167,S03209,2024-07-14,0000-00-00,,416.94,,failed,card,TRUE,2024-07-14 0:00
I00082,S03449,,,10/19/2023,267.88,EUR,FAILED,card,FALSE,2023-09-14 0:00
I00251,S02049,0000-00-00,0000-00-00,,119.04,GBP,refunded,invoice,FALSE,2024-04-06 0:00
I00684,S00071,,0000-00-00,2024-11-26 0:00,N/A,GBP,,card,0,2024-11-20 0:00
I00471,S02343,0000-00-00,0000-00-00,2023-05-10,499.61,GBP,PAID,card,TRUE,2023-04-01 0:00
I00857,S01247,2023-12-02,2024-01-01,,118.51,USD,,,FALSE,2023-12-02 0:00
I01047,S01320,0000-00-00,2023-10-27 0:00,0000-00-00,471.25,USD,refunded,wire,TRUE,2023-09-27 0:00
I00058,SUB-02175,0000-00-00,2023-02-13,01/24/2023,66.5,,PAID,invoice,0,2023-01-14 0:00
I01697,S01613,2023-12-18,0000-00-00,2024-01-11,459.3,CAD,PAID,wire,0,2023-12-18 0:00
I01352,S02609,,2023-06-26,2023-07-04,351.54,,FAILED,card,TRUE,2023-05-27 0:00
I00812,S02153,2023-03-12,2023-04-11,,100.32,USD,partial,wire,FALSE,2023-03-12 0:00
I01668,S03666,2023-01-11,02/10/2023,0000-00-00,N/A,,PAID,,0,2023-01-11 0:00
I00987,S02478,2024-09-07 0:00,10/07/2024,2024-10-16,82.95,,,wire,TRUE,2024-09-07 0:00
I00599,S01526,,0000-00-00,,190.46,EUR,refunded,wire,FALSE,2024-09-04 0:00
I00705,S02277,04/25/2023,,,315.51,CAD,paid,,1,2023-04-25 0:00
I01216,S02870,0000-00-00,10/23/2023,,185.86,,PAID,wire,FALSE,2023-09-23 0:00
I01506,S01345,05/22/2023,,2023-06-27 0:00,198.57,USD,,card,TRUE,2023-05-22 0:00
I00052,S01526,0000-00-00,2023-10-27,11/04/2023,255.59,GBP,PAID,CARD,TRUE,2023-09-27 0:00
I01390,S02329,05/15/2024,06/14/2024,2024-05-31,167.78,usd,failed,,FALSE,2024-05-15 0:00
I00570,S01189,0000-00-00,0000-00-00,2024-03-13 0:00,253,USD,paid,,,2024-02-02 0:00
I01605,s03734,2023-07-20,0000-00-00,2023-07-28 0:00,341.92,CAD,failed,invoice,,2023-07-20 0:00
I00111,S02112,2025-02-17 0:00,0000-00-00,2025-03-15,106.35,CAD,FAILED,wire,0,2025-02-17 0:00
I01526,S02243,0000-00-00,2025-07-17,,181.42,,,invoice,TRUE,2025-06-17 0:00
I01178,S03164,2024-10-25,11/24/2024,2024-11-30,25.84,EUR,partial,invoice,FALSE,2024-10-25 0:00
I00958,S04430,0000-00-00,0000-00-00,,319.61,,failed,,TRUE,2023-07-26 0:00
I01202,S02027,2024-01-09 0:00,,2024-01-14 0:00,376.55,CAD,PAID,card,,2024-01-09 0:00
I00194,SUB-01189,0000-00-00,,0000-00-00,453.04,,partial,card,TRUE,2025-05-26 0:00
I01483,S03792,,12/24/2024,,104.2,usd,FAILED,invoice,,2024-11-24 0:00
I00097, S01403,02/12/2024,0000-00-00,03/22/2024,406.99,CAD,PAID,card,,2024-02-12 0:00
I00430,S00600,2024-09-08,2024-10-08,,316.02,,,card,1,2024-09-08 0:00
I00151,S04147,06/17/2025,2025-07-17,,444.89,,partial,paypal,1,2025-06-17 0:00
I00659,S03846,,0000-00-00,0000-00-00,96.25,USD,,wire,FALSE,2023-01-16 0:00
I01751,S01260,2025-04-18,2025-05-18 0:00,2025-05-10,455.77,,refunded,card,,2025-04-18 0:00
I00714,S04102,0000-00-00,06/26/2023,2023-06-30 0:00,338.43,USD,PAID,paypal,TRUE,2023-05-27 0:00
I01447,S01295,0000-00-00,2023-05-28,2023-05-14,273.4,,failed,invoice,1,2023-04-28 0:00
I01377,S04233,0000-00-00,2025-04-09,0000-00-00,447.26,EUR,,invoice,,2025-03-10 0:00
I00708, S03453,06/02/2025,07/02/2025,2025-06-30,284.6,usd,paid,paypal,,2025-06-02 0:00
I01261,S00852,2023-01-02 0:00,0000-00-00,2023-02-03,407.7,,,wire,1,2023-01-02 0:00
I01235,S02395,2024-12-22,2025-01-21 0:00,0000-00-00,429.56,,paid,,FALSE,2024-12-22 0:00
I00967, S00220,2024-03-08 0:00,,2024-03-21,207.29,USD,,,FALSE,2024-03-08 0:00
 I00241,S02904,0000-00-00,2024-09-11,0000-00-00,497.35,CAD,,wire,1,2024-08-12 0:00
I01245,S03402,12/29/2023,2024-01-28,0000-00-00,285.22,,PAID,paypal,TRUE,2023-12-29 0:00
I00561,S02447,01/08/2025,2025-02-07 0:00,2025-02-02 0:00,227.19,usd,,CARD,,2025-01-08 0:00
I01390,S02060,0000-00-00,2024-04-23 0:00,2024-03-29,232.65,EUR,failed,paypal,0,2024-03-24 0:00
I00139,S00105,0000-00-00,2025-02-28,,141.72,USD,,invoice,TRUE,2025-01-29 0:00
I00249,S04028,0000-00-00,,0000-00-00,166.16,USD,FAILED,invoice,TRUE,2023-07-22 0:00
I01671,S00472,04/16/2024,0000-00-00,0000-00-00,406.79,USD,PAID,,1,2024-04-16 0:00
I00654,S03121,0000-00-00,2023-04-05,2023-03-17,400.16,CAD,,invoice,FALSE,2023-03-06 0:00
I00311,S00096,2023-07-20,08/19/2023,2023-07-24,100.15,USD,FAILED,paypal,FALSE,2023-07-20 0:00
I00122,S00915,03/02/2023,2023-04-01 0:00,2023-03-31,256.99,,FAILED,CARD,FALSE,2023-03-02 0:00
I01708,S02181,2023-12-25 0:00,0000-00-00,,109.39,CAD,refunded,paypal,FALSE,2023-12-25 0:00
I00554,S00605,2023-05-11,0000-00-00,0000-00-00,17.4,,refunded,,TRUE,2023-05-11 0:00
I00051,S01025,0000-00-00,0000-00-00,2025-04-05 0:00,384.71,USD,PAID,,FALSE,2025-03-07 0:00
I01257,S00849,2025-05-06,,,91.09,GBP,partial,paypal,0,2025-05-06 0:00
I01424,S02392,2024-08-09,,2024-08-09,245.82,CAD,,invoice,0,2024-08-09 0:00
I00705,S02277,04/25/2023,,,315.51,CAD,paid,,1,2023-04-25 0:00
I01359,S02798,2023-04-29,2023-05-29,,66.45,USD,refunded,invoice,1,2023-04-29 0:00
I00348,S04196,2023-01-24 0:00,,,339.8,,,CARD,TRUE,2023-01-24 0:00
I00159,S03257,2024-10-16 0:00,11/15/2024,0000-00-00,70.79,,partial,CARD,TRUE,2024-10-16 0:00
I00956,S01795,0000-00-00,2024-01-18,,123.28,GBP,failed,paypal,FALSE,2023-12-19 0:00
I01632,S02624,01/26/2025,2025-02-25,03/06/2025,40.4,EUR,partial,CARD,,2025-01-26 0:00
I01492,S01431,2025-05-30,06/29/2025,2025-07-05,N/A,EUR,refunded,card,TRUE,2025-05-30 0:00
i00573,S03347,09/27/2023,0000-00-00,2023-10-08 0:00,392.04,USD,PAID,,TRUE,2023-09-27 0:00
I01423,S02461,0000-00-00,2024-08-16,,79.62,CAD,,invoice,TRUE,2024-07-17 0:00
I01172,S00680,2025-01-26,2025-02-25,,83.99,CAD,partial,paypal,,2025-01-26 0:00
I00225,S02310,2024-10-02,2024-11-01,10/27/2024,107.35,CAD,FAILED,CARD,0,2024-10-02 0:00
 I00971,S03643,2024-03-22,0000-00-00,2024-04-08,336.2,usd,partial,CARD,,2024-03-22 0:00
I01491,S03135,0000-00-00,04/24/2024,,70.78,,refunded,,,2024-03-25 0:00
