ticket_id,user_id,category,priority,status,support_channel,sentiment,assigned_agent,created_date,resolved_date,resolution_time_hours,created_at
 T01083,U000987,Other,Urgent,pending,Email,,A.Smith,2024-11-10 0:00,0000-00-00,unknown,2024-11-10 0:00
T00490,U001611,Integration,Medium,OPEN,,neutral,,0000-00-00,11/13/2023,,2023-11-13 0:00
T00939,U000024,Billing,Medium,OPEN,,neutral,,2023-05-10,2023-05-18,30,2023-05-10 0:00
T00097,U001160,Onboarding,Medium,pending,,,M.Chen,03/04/2025,2025-03-31,168,2025-03-04 0:00
T00934,U002091,Feature Request,Low,RESOLVED,Email,negative,S.Khan,2024-08-04,2024-08-22,unknown,2024-08-04 0:00
T00966,U001973,Integration,Low,closed,email,,A.Smith,0000-00-00,0000-00-00,unknown,2023-03-08 0:00
T00714,U000892,Integration,Urgent,closed,Email,negative,R.Patel,2025-01-15,,150,2025-01-15 0:00
T00692,U002317,Billing,Urgent,open,,neutral,A.Smith,12/14/2023,0000-00-00,unknown,2023-12-14 0:00
T00102,U000054,Account,,resolved,,negative,M.Chen,2023-01-08,0000-00-00,203,2023-01-08 0:00
T01025,U001816,Performance,Medium,resolved,Email,,S.Khan,2023-11-01,0000-00-00,,2023-11-01 0:00
T00571,U001177,Integration,low,pending,email,positive,S.Khan,0000-00-00,2025-06-21,unknown,2025-06-01 0:00
T00116,U000152,Feature Request,Medium,RESOLVED,Phone,positive,R.Patel,02/02/2023,2023-02-15,97,2023-02-02 0:00
T00227,U000721,Bug,,open,In-App,negative,R.Patel,,2025-05-15,,2025-05-06 0:00
T00074,u002254,Onboarding,Urgent,RESOLVED,In-App,negative,,2025-05-18,2025-06-11 0:00,160,2025-05-18 0:00
T00083,U002428,Onboarding,Urgent,closed,,,,0000-00-00,,,2024-09-16 0:00
 T00691,U002275,Onboarding,High,closed,email,negative,M.Chen,0000-00-00,01/16/2025,10,2024-12-19 0:00
T00750,U002374,Other,Low,RESOLVED,Chat,,A.Smith,0000-00-00,11/29/2024,9,2024-10-30 0:00
T01083,U001399,Account,,pending,Phone,negative,,0000-00-00,,unknown,2025-04-21 0:00
T01476,U001220,Onboarding,,RESOLVED,,NEGATIVE,,,,,2025-01-14 0:00
T00410,U001072,Integration,Urgent,open,Email,negative,A.Smith,2024-08-31,2024-09-12,unknown,2024-08-31 0:00
T01050,U001478,Feature Request,Low,closed,Email,,M.Chen,05/23/2024,2024-06-18 0:00,,2024-05-23 0:00
T01323,U000849,Performance,Urgent,pending,,negative,S.Khan,2024-09-10 0:00,2024-09-29 0:00,,2024-09-10 0:00
T00030,U001289,Billing,,open,Chat,positive,,02/25/2025,0000-00-00,,2025-02-25 0:00
T00302,U001496,Performance,low,OPEN,Phone,negative,S.Khan,05/19/2025,05/31/2025,,2025-05-19 0:00
T00119,U001961,Integration,Medium,closed,,,M.Chen,0000-00-00,,146,2023-09-11 0:00
T01105,U002533,Other,Medium,closed,,,,08/27/2024,,unknown,2024-08-27 0:00
T00524,U000488,Integration,,open,,,S.Khan,2023-05-07,05/13/2023,12,2023-05-07 0:00
T00101,U001032,Billing,Low,RESOLVED,Chat,NEGATIVE,,2023-05-13,,,2023-05-13 0:00
T00832,U001114,Onboarding,low,pending,email,negative,A.Smith,2023-05-04,,99,2023-05-04 0:00
T00886,U001473,Other,Urgent,open,,,S.Khan,0000-00-00,07/07/2023,105,2023-06-13 0:00
T00697,U002437,Billing,,OPEN,Phone,neutral,A.Smith,2023-10-09,2023-10-22,unknown,2023-10-09 0:00
T01062,U000168,Account,,OPEN,email,positive,R.Patel,0000-00-00,2023-12-14 0:00,,2023-12-04 0:00
T00876,USR-000903,Feature Request,Medium,open,In-App,negative,J.Doe,2025-03-30 0:00,04/01/2025,,2025-03-30 0:00
 T00878,U000572,Feature Request,,pending,In-App,neutral,R.Patel,,,214,2024-05-17 0:00
T00673,U002413,Account,Urgent,RESOLVED,Phone,,A.Smith,2023-02-18 0:00,03/17/2023,65,2023-02-18 0:00
T01052,U002479,Integration,High,OPEN,,NEGATIVE,S.Khan,2025-06-12 0:00,0000-00-00,,2025-06-12 0:00
T00092,U000915,Integration,High,pending,Phone,neutral,A.Smith,0000-00-00,,unknown,2023-04-17 0:00
T01483,U000342,Performance,low,open,Chat,negative,S.Khan,2024-04-30 0:00,,unknown,2024-04-30 0:00
T00239,U001104,Bug,Medium,RESOLVED,Phone,negative,,,,,2024-09-05 0:00
T00091,U002497,Feature Request,,resolved,Email,,R.Patel,12/21/2024,01/06/2025,,2024-12-21 0:00
T00816,U001588,Onboarding,Urgent,open,Chat,negative,A.Smith,0000-00-00,2023-03-03,,2023-03-03 0:00
T01087,U000263,Other,,OPEN,,,R.Patel,,,,2023-05-11 0:00
T01056,U002307,Feature Request,,open,,negative,,2024-10-01 0:00,10/30/2024,unknown,2024-10-01 0:00
T01317,U002462,Feature Request,,pending,email,NEGATIVE,A.Smith,0000-00-00,2023-10-19 0:00,27,2023-10-01 0:00
T01391,U002062,Performance,High,closed,,positive,J.Doe,2023-01-06,01/11/2023,,2023-01-06 0:00
T01187,U000487,Other,,pending,Phone,negative,S.Khan,0000-00-00,,,2024-01-25 0:00
T00443,U000865,Bug,,open,,neutral,J.Doe,2024-03-14,0000-00-00,,2024-03-14 0:00
t00003,U000054,Billing,,pending,Chat,,S.Khan,2023-05-04,0000-00-00,unknown,2023-05-04 0:00
T00948,u002251,Other,,OPEN,Email,negative,S.Khan,,2025-05-06 0:00,,2025-04-13 0:00
T00247,U001403,Billing,Medium,OPEN,,,,0000-00-00,2024-12-31,,2024-12-02 0:00
T01313,U001480,Account,,resolved,Email,,A.Smith,2023-01-13,0000-00-00,,2023-01-13 0:00
T00023,USR-001420,Bug,Low,resolved,,negative,S.Khan,0000-00-00,2024-12-20,,2024-12-03 0:00
T00056,U001387,Onboarding,High,open,Chat,positive,J.Doe,,0000-00-00,unknown,2024-08-04 0:00
T00400,U002591,Account,Urgent,resolved,,neutral,,05/24/2023,2023-06-03,,2023-05-24 0:00
T01001,U000844,Onboarding,Medium,open,email,positive,,0000-00-00,11/15/2024,124,2024-10-31 0:00
T00990,U001944,Performance,,RESOLVED,Email,NEGATIVE,S.Khan,2023-10-15,2023-10-25,,2023-10-15 0:00
T01329,U001710,Onboarding,High,open,,positive,S.Khan,2025-05-02,,unknown,2025-05-02 0:00
T00477,U001466,Account,,resolved,Phone,NEGATIVE,S.Khan,2023-09-25,,unknown,2023-09-25 0:00
T01376,U000763,Feature Request,Low,resolved,Email,negative,,,,28,2024-08-12 0:00
T01328,U001578,Performance,Medium,OPEN,Chat,negative,J.Doe,,0000-00-00,unknown,2024-09-27 0:00
T00767,U001805,Other,Low,RESOLVED,Email,NEGATIVE,R.Patel,2025-03-06,2025-03-17,unknown,2025-03-06 0:00
T00304,U001042,Performance,High,pending,In-App,positive,S.Khan,2024-04-15,,unknown,2024-04-15 0:00
T00173,U001020,Onboarding,High,pending,,negative,A.Smith,2024-12-06 0:00,2024-12-16 0:00,134,2024-12-06 0:00
T00173,U000190,Feature Request,low,resolved,Chat,,M.Chen,2024-04-18 0:00,0000-00-00,,2024-04-18 0:00
T01179,U000304,Bug,,RESOLVED,In-App,positive,M.Chen,2024-07-29 0:00,2024-08-21,,2024-07-29 0:00
T00509,U000897,Onboarding,,open,,,M.Chen,0000-00-00,0000-00-00,,2024-01-04 0:00
T00961,U000154,Performance,Low,OPEN,,NEGATIVE,,2023-02-05,2023-02-28,,2023-02-05 0:00
 T01426,U000043,Bug,,RESOLVED,Chat,neutral,A.Smith,0000-00-00,2023-02-02,,2023-01-27 0:00
T01082,U002175,Billing,low,pending,Phone,positive,M.Chen,2023-03-18,,,2023-03-18 0:00
T01477,U000965,Performance,,pending,Email,neutral,S.Khan,2024-01-01,01/18/2024,,2024-01-01 0:00
T00374,U002365,Feature Request,,OPEN,Chat,,M.Chen,0000-00-00,2024-04-27,unknown,2024-04-13 0:00
T00709,U000029,Feature Request,,RESOLVED,,positive,M.Chen,11/26/2024,,unknown,2024-11-26 0:00
T00951,U001071,Feature Request,,OPEN,,neutral,R.Patel,0000-00-00,2024-10-26,unknown,2024-09-30 0:00
T01269,U000266,Performance,Low,resolved,,positive,S.Khan,2024-04-19,2024-05-12,112,2024-04-19 0:00
 T00245,U002545,Billing,,pending,Chat,,M.Chen,2024-01-15,0000-00-00,unknown,2024-01-15 0:00
T00269,U001532,Other,,RESOLVED,Chat,neutral,,0000-00-00,,221,2023-03-23 0:00
t00122,U000369,Onboarding,Low,closed,,NEGATIVE,R.Patel,,0000-00-00,,2024-07-15 0:00
T00199,U001578,Bug,Medium,OPEN,email,,S.Khan,04/19/2025,0000-00-00,,2025-04-19 0:00
T01493,u001997,Feature Request,High,open,Email,neutral,A.Smith,2024-08-24 0:00,09/09/2024,3,2024-08-24 0:00
 T00296,U000194,Account,Low,RESOLVED,Phone,,R.Patel,0000-00-00,2023-03-19,,2023-03-16 0:00
T01366,U000406,Billing,Low,pending,Phone,positive,,0000-00-00,,unknown,2023-01-24 0:00
T00096,U000152,Performance,Medium,closed,email,,S.Khan,0000-00-00,2025-05-21 0:00,unknown,2025-05-13 0:00
T00950,U001412,Integration,,OPEN,,,A.Smith,0000-00-00,0000-00-00,unknown,2024-10-22 0:00
T00241,U001447,Account,Medium,resolved,In-App,negative,S.Khan,0000-00-00,2023-10-30,,2023-10-13 0:00
T00157,U001904,Billing,High,resolved,,NEGATIVE,J.Doe,11/23/2024,,unknown,2024-11-23 0:00
T01423,U000511,Onboarding,,resolved,In-App,negative,S.Khan,2023-08-14 0:00,,unknown,2023-08-14 0:00
T01424,U001097,Feature Request,High,open,Email,negative,S.Khan,2025-03-15 0:00,2025-04-07,,2025-03-15 0:00
T01183,U001366,Other,Urgent,OPEN,,positive,S.Khan,,2024-05-29 0:00,228,2024-05-11 0:00
T01441,U002377,Other,,closed,,NEGATIVE,R.Patel,0000-00-00,,,2023-09-22 0:00
T01126,U001791,Onboarding,low,RESOLVED,,negative,,11/05/2023,0000-00-00,55,2023-11-05 0:00
T01128,U002317,Onboarding,Urgent,pending,In-App,NEGATIVE,A.Smith,0000-00-00,,142,2023-07-14 0:00
T00286,U001857,Onboarding,Urgent,closed,email,NEGATIVE,,0000-00-00,10/18/2024,193,2024-10-06 0:00
T01388,u000006,Feature Request,,pending,Chat,neutral,M.Chen,2025-05-12,0000-00-00,,2025-05-12 0:00
T01339,U001359,Billing,,pending,,,,,2023-06-11 0:00,,2023-06-05 0:00
T00218,U001054,Performance,,resolved,In-App,neutral,M.Chen,2023-03-30 0:00,2023-04-10,112,2023-03-30 0:00
T01389,U001758,Bug,,OPEN,email,NEGATIVE,,2023-04-14,2023-05-01 0:00,unknown,2023-04-14 0:00
T00542,U000062,Onboarding,Low,resolved,Email,,A.Smith,2024-05-22 0:00,05/23/2024,206,2024-05-22 0:00
T00204,U002270,Integration,High,resolved,email,neutral,J.Doe,2025-05-01 0:00,0000-00-00,,2025-05-01 0:00
T00603,u001237,Integration,,pending,email,positive,M.Chen,0000-00-00,0000-00-00,unknown,2023-03-24 0:00
T01348,U001634,Performance,,pending,Phone,,R.Patel,06/07/2024,0000-00-00,,2024-06-07 0:00
T00996,U001925,Integration,Urgent,RESOLVED,email,positive,R.Patel,2024-02-27,2024-03-05,unknown,2024-02-27 0:00
T01417,U001907,Performance,,open,,,R.Patel,02/12/2023,03/14/2023,unknown,2023-02-12 0:00
T00177,USR-002258,Bug,Low,RESOLVED,email,,A.Smith,2023-08-16 0:00,,97,2023-08-16 0:00
T00658,U002342,Onboarding,,OPEN,Email,NEGATIVE,M.Chen,2025-04-03,,,2025-04-03 0:00
T00001,USR-000194,Integration,Medium,pending,Email,positive,,2024-11-26,,104,2024-11-26 0:00
T00142,U001883,Other,,RESOLVED,Phone,negative,,2024-05-22,06/17/2024,,2024-05-22 0:00
T00322,U001814,Onboarding,low,RESOLVED,Chat,NEGATIVE,S.Khan,0000-00-00,,84,2023-07-12 0:00
T01421,U001816,Bug,low,open,Phone,positive,,2023-07-09,07/25/2023,,2023-07-09 0:00
T00182,U000116,Billing,,OPEN,,neutral,A.Smith,0000-00-00,0000-00-00,,2023-02-12 0:00
T00910,U000633,Account,,RESOLVED,,NEGATIVE,J.Doe,0000-00-00,2024-01-01 0:00,unknown,2023-12-06 0:00
T01306,USR-001356,Onboarding,low,OPEN,Phone,neutral,S.Khan,0000-00-00,,unknown,2025-03-28 0:00
T01051,U000364,Integration,Medium,closed,In-App,,S.Khan,0000-00-00,02/16/2024,unknown,2024-02-11 0:00
T01316,U000801,Integration,Urgent,closed,,neutral,A.Smith,0000-00-00,2024-05-04,unknown,2024-05-01 0:00
T00300,U000676,Feature Request,High,closed,email,NEGATIVE,J.Doe,0000-00-00,2024-12-29,,2024-12-27 0:00
T00264,U002352,Other,Urgent,resolved,Email,,M.Chen,05/11/2025,2025-06-05,unknown,2025-05-11 0:00
T01018,U001692,Billing,,RESOLVED,Chat,,S.Khan,,,unknown,2023-02-27 0:00
T01095,U001970,Performance,Urgent,open,,,R.Patel,06/24/2023,2023-07-09,109,2023-06-24 0:00
T00285,U001957,Feature Request,Medium,resolved,In-App,,,0000-00-00,,unknown,2023-10-17 0:00
t00352,U001635,Billing,,pending,,NEGATIVE,R.Patel,0000-00-00,,117,2025-02-16 0:00
T00346,U000208,Account,High,open,In-App,negative,A.Smith,2025-04-12 0:00,2025-04-13,,2025-04-12 0:00
T00832,U002467,Feature Request,Urgent,OPEN,,negative,,2023-08-31,,,2023-08-31 0:00
 T00585,U001237,Bug,,closed,,negative,,2024-06-02,2024-06-26,189,2024-06-02 0:00
T00410,U000087,Onboarding,,resolved,,negative,A.Smith,2023-06-26,2023-06-28,,2023-06-26 0:00
T01245,U000636,Performance,,resolved,,negative,M.Chen,0000-00-00,04/18/2024,,2024-04-08 0:00
T00504,U000347,Other,Urgent,closed,Chat,positive,S.Khan,2024-10-23,,160,2024-10-23 0:00
T00937,U002074,Bug,,closed,Phone,,A.Smith,2024-04-30 0:00,,unknown,2024-04-30 0:00
T01162,U001221,Bug,,open,Chat,negative,A.Smith,2024-11-04,2024-11-08,47,2024-11-04 0:00
T00517,U002111,Feature Request,,RESOLVED,,,J.Doe,,0000-00-00,unknown,2023-02-04 0:00
T00244,U001602,Integration,,OPEN,,NEGATIVE,M.Chen,0000-00-00,,,2025-02-03 0:00
T00903,U000071,Feature Request,low,OPEN,,NEGATIVE,R.Patel,0000-00-00,08/23/2024,165,2024-08-10 0:00
T00173,U000199,Account,High,open,Chat,positive,,0000-00-00,03/23/2024,,2024-03-02 0:00
T01089,U002267,Performance,low,RESOLVED,Email,negative,M.Chen,2023-10-04,2023-10-12,,2023-10-04 0:00
T00149,U002446,Integration,Medium,pending,In-App,neutral,S.Khan,2025-03-09,2025-03-14 0:00,235,2025-03-09 0:00
T00775,U001610,Account,,RESOLVED,Phone,,J.Doe,2023-04-10 0:00,2023-05-03 0:00,8,2023-04-10 0:00
T01305,U002099,Other,High,closed,,,J.Doe,08/08/2024,0000-00-00,88,2024-08-08 0:00
T01075,U000762,Account,High,OPEN,email,neutral,,2025-02-21,0000-00-00,142,2025-02-21 0:00
T00738,U000419,Bug,Low,RESOLVED,In-App,,A.Smith,01/13/2025,,228,2025-01-13 0:00
T01228,U000023,Other,,resolved,email,NEGATIVE,S.Khan,0000-00-00,2023-02-28 0:00,,2023-02-28 0:00
T01239,U000977,Account,Low,RESOLVED,,,S.Khan,08/03/2024,,,2024-08-03 0:00
T01166,U000528,Bug,low,open,,,A.Smith,2024-08-05 0:00,2024-09-03 0:00,,2024-08-05 0:00
T01335,U000704,Feature Request,low,resolved,Phone,neutral,,2024-04-13,,174,2024-04-13 0:00
t00731,U001697,Billing,Low,closed,Phone,,,0000-00-00,,,2023-07-20 0:00
t01333,U001826,Onboarding,Urgent,closed,email,positive,M.Chen,2025-05-19,,125,2025-05-19 0:00
T01489,U000065,Performance,,open,Chat,neutral,R.Patel,2023-04-01 0:00,,unknown,2023-04-01 0:00
T01233,u000084,Account,High,closed,email,,R.Patel,,2023-03-21,,2023-03-02 0:00
T00579,U000420,Feature Request,Medium,open,,,J.Doe,2025-02-10,2025-03-07,unknown,2025-02-10 0:00
 T00231,U002455,Feature Request,Low,RESOLVED,,,R.Patel,2024-11-08,2024-11-11,unknown,2024-11-08 0:00
T00815,U001741,Other,Low,RESOLVED,Email,positive,,,0000-00-00,unknown,2023-01-07 0:00
T00123,U001975,Account,Low,closed,Email,neutral,J.Doe,,,8,2025-01-17 0:00
T00181, U001345 ,Feature Request,low,pending,,NEGATIVE,M.Chen,10/31/2024,2024-11-01,239,2024-10-31 0:00
T00842,U001586,Performance,Low,resolved,Phone,negative,A.Smith,0000-00-00,,87,2025-05-18 0:00
T00107,U002599,Performance,Urgent,pending,In-App,NEGATIVE,S.Khan,01/29/2023,2023-02-01,unknown,2023-01-29 0:00
T01228,U000666,Feature Request,,RESOLVED,In-App,,M.Chen,06/25/2024,06/27/2024,unknown,2024-06-25 0:00
T00811,U001648,Bug,low,closed,In-App,positive,R.Patel,,0000-00-00,unknown,2023-05-08 0:00
T00580,U002488,Account,Urgent,OPEN,Chat,positive,S.Khan,0000-00-00,0000-00-00,155,2024-12-27 0:00
T01393,U000827,Account,,OPEN,Email,NEGATIVE,,2024-05-16,,unknown,2024-05-16 0:00
T00063,U002600,Feature Request,Medium,OPEN,Chat,neutral,S.Khan,2023-09-08,2023-09-22,,2023-09-08 0:00
T00104,USR-000499,Integration,,closed,Phone,positive,M.Chen,2024-11-11,0000-00-00,,2024-11-11 0:00
T00170,U000127,Onboarding,Low,RESOLVED,In-App,positive,,2023-03-03,,unknown,2023-03-03 0:00
T00804,U002215,Onboarding,Medium,closed,In-App,neutral,A.Smith,0000-00-00,0000-00-00,,2025-06-07 0:00
T00882,U000309,Performance,,resolved,In-App,negative,A.Smith,05/09/2023,,unknown,2023-05-09 0:00
T01201,u001948,Onboarding,Urgent,closed,In-App,neutral,M.Chen,2024-12-22,2025-01-01,,2024-12-22 0:00
T00025,U001892,Bug,low,OPEN,email,neutral,,2023-09-28,,,2023-09-28 0:00
T00209,U001832,Other,Medium,RESOLVED,Chat,negative,J.Doe,2024-09-29,,unknown,2024-09-29 0:00
 T00775,U000061,Integration,High,resolved,In-App,positive,S.Khan,2024-01-07,2024-01-22 0:00,,2024-01-07 0:00
T00736,U000170,Bug,Urgent,pending,In-App,neutral,M.Chen,2025-03-11 0:00,03/19/2025,,2025-03-11 0:00
t00801,U002306,Onboarding,High,RESOLVED,In-App,,S.Khan,2024-05-06 0:00,2024-05-14,,2024-05-06 0:00
T00905,U002193,Bug,Urgent,OPEN,,,M.Chen,0000-00-00,,unknown,2024-08-18 0:00
 T00831,u001652,Billing,Medium,RESOLVED,,,J.Doe,,,,2025-04-11 0:00
T00677,U000195,Other,low,closed,Phone,,,0000-00-00,07/20/2023,76,2023-06-23 0:00
T00441,U001004,Performance,,open,Email,NEGATIVE,,2023-08-25 0:00,2023-09-22,149,2023-08-25 0:00
t01185,U000202,Integration,Urgent,open,email,negative,R.Patel,2023-08-16,2023-09-11 0:00,,2023-08-16 0:00
T01043,U000161,Feature Request,Low,closed,Chat,,J.Doe,2023-07-31,,200,2023-07-31 0:00
T00101,U002061,Integration,low,RESOLVED,,NEGATIVE,,0000-00-00,0000-00-00,,2023-06-24 0:00
T00415,USR-000476,Other,,closed,In-App,NEGATIVE,J.Doe,2024-07-05,0000-00-00,75,2024-07-05 0:00
T00752,U002555,Account,low,pending,In-App,neutral,M.Chen,0000-00-00,2025-01-31,unknown,2025-01-27 0:00
T01434,U001366,Billing,Medium,resolved,Phone,,M.Chen,2024-05-07,2024-05-19,,2024-05-07 0:00
T01003,U000178,Billing,High,closed,Email,,M.Chen,2023-02-07,2023-02-18,unknown,2023-02-07 0:00
T01411,U000435,Onboarding,,open,,NEGATIVE,J.Doe,0000-00-00,0000-00-00,,2025-02-14 0:00
T00707,USR-000909,Feature Request,low,OPEN,Email,positive,R.Patel,0000-00-00,2024-10-22 0:00,,2024-09-25 0:00
T01100,u000020,Integration,Low,resolved,Email,,A.Smith,2024-09-04 0:00,2024-09-11,,2024-09-04 0:00
T00196,U001328,Onboarding,,closed,Phone,NEGATIVE,S.Khan,2025-02-06,,unknown,2025-02-06 0:00
T00620,U000169,Integration,Urgent,open,,,,,,unknown,2024-11-25 0:00
T00513,U000524,Bug,,open,Email,neutral,R.Patel,11/11/2024,2024-11-28,,2024-11-11 0:00
T00436,U001274,Onboarding,,closed,Chat,,,0000-00-00,11/08/2024,,2024-10-20 0:00
T01112,U000746,Billing,Low,OPEN,email,,M.Chen,2023-12-07,2023-12-31 0:00,,2023-12-07 0:00
T00071,U000057,Integration,Urgent,resolved,,,M.Chen,2024-07-20,,,2024-07-20 0:00
T00965,U000561,Onboarding,low,OPEN,In-App,positive,S.Khan,2024-02-15 0:00,0000-00-00,,2024-02-15 0:00
